index,q07_04_1,q07_04_1,q07_04_2,q07_04_2,q07_04_3,q07_04_3,q07_04_4,q07_04_4,q07_04_6,q07_04_6
,group_wa5,count,group_wa5,count,group_wa5,count,group_wa5,count,group_wa5,count
Rural,81.6383622136816,658,214.21218139575427,2233,40.924895141033375,666,70.29080538223995,7,118.20048931175769,9
Urban,39.322591202219854,83,418.94329446005986,144,88.80665522897043,40,0.0,0,3.0,1
!Karas,18.76985043192681,2,300.0,1,0.0,0,0.0,0,0.0,0
Erongo,100.0,1,96.99579899366537,5,50.0,1,0.0,0,0.0,0
Hardap,25.0,2,203.5576429920896,3,0.0,1,0.0,0,0.0,0
Kavango East,110.35554407202238,75,155.63783838437053,111,73.1186518000125,8,0.0,0,1.0,1
Kavango West,98.46919850313489,189,181.9247965777353,289,49.72148953189972,57,0.0,0,0.0,0
Khomas,27.593718387175382,13,1943.9737639868133,9,164.86698546351477,9,0.0,0,3.0,1
Kunene,52.440614398086836,16,114.89238433682434,2,25.0,1,50.0,1,227.3464703760163,5
Ohangwena,18.311148692922554,95,229.23916705883443,588,23.577289629990393,218,0.0,0,0.0,0
Omaheke,186.2290275272531,17,0.0,0,0.0,0,0.0,0,0.0,0
Omusati,39.481721905532325,71,263.772932711384,526,55.04170644256261,219,0.0,0,0.0,0
Oshana,51.3152975925019,36,183.4380348810141,348,31.993472256498954,95,0.0,0,50.0,1
Oshikoto,45.11964813755108,63,169.2310291989066,470,45.794387206532164,82,75.81727413392181,6,0.0,0
Otjozondjupa,16.474995836174458,16,10.0,1,6.668457703335238,3,0.0,0,0.0,0
Zambezi,145.41615095295953,145,67.90180470737577,24,64.94492555249963,12,0.0,0,13.641747545258024,2
Female,61.77319512662524,353,222.52566264308777,1377,43.39536942947806,407,73.57170299961082,5,48.01751552276203,4
Male,89.42763005396893,388,233.1759084630472,1000,44.903038242994484,299,62.15084354740047,2,132.61461763790965,6
0-18,85.67202592624312,3,191.45413250959697,8,5.0,1,0.0,0,0.0,0
18-59,69.8964090744109,477,214.59342419159867,1330,38.91685162167475,378,86.99795836915968,4,109.95336412176846,8
60+,87.84471027585691,261,245.07055491820765,1039,50.97693346699876,327,46.089704818663584,3,60.677911456700144,2
No formal education,90.6100886779189,186,240.53193589561675,602,40.74620755308029,175,10.0,1,101.85276909138867,3
Not stated,111.9518466654536,3,163.53928431837804,15,155.6208599332449,4,0.0,0,0.0,0
Primary,73.70469684971204,274,201.05885004241617,971,35.65556400589353,288,92.05951044514748,4,359.1789733680291,2
Secondary,72.263575839922,239,242.00785715746144,676,57.46889514948201,203,12.0,1,5.670070318900053,3
Tertiary,55.793363760180576,30,329.04667277273114,89,35.25042952899027,29,100.0,1,21.83646200017045,2
1,93.71914522092172,87,146.55214796973755,155,36.50806547670953,36,0.0,0,44.48607100380667,2
2,71.05903141290534,85,174.26450163026,246,32.383991677277834,71,0.0,0,44.37665473951483,3
3,61.12094794202708,95,163.67731918734265,314,26.647805767940817,90,0.0,0,0.0,0
4,79.81877530462259,73,291.6048544689175,265,52.91949003048285,74,31.714291728486316,2,0.0,0
5,94.00167476616755,83,219.90155672726527,311,38.809688718687674,96,74.6050234941538,2,0.0,0
6,58.5432203883,95,215.62760402493365,293,33.254507999310455,81,113.51538338380736,2,20.0,1
7,71.75990751888445,75,198.1746246791787,263,27.913929260375234,74,0.0,0,0.0,0
8,94.76472319251982,62,391.3699947633728,255,79.13483540088902,92,100.0,1,50.0,1
9,60.86844597518156,52,254.68447961021894,171,84.6624089666967,57,0.0,0,267.46228468724,2
10,85.28825875896014,34,182.27790278768254,104,29.688373557521615,35,0.0,0,50.0,1
Afrikaans,6.025354650090616,3,0.0,0,0.0,0,0.0,0,0.0,0
English,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
German,50.0,1,0.0,0,0.0,0,0.0,0,0.0,0
Khoisan,9.360756574278588,5,38.613839491638714,7,50.0,1,0.0,0,0.0,0
Nama/Damara,21.548323916421758,12,0.0,0,0.0,0,50.0,1,50.0,1
Oshiwambo,33.0442250913541,279,234.53651623290511,1937,43.78478865646931,621,75.81727413392181,6,208.4372752859748,3
Other,63.30976850117546,3,548.7867285666091,4,16.020317827457017,2,0.0,0,0.0,0
Other African,8.608804228387934,3,30.691785378672876,3,0.0,0,0.0,0,0.0,0
Other European,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Otjiherero,115.18717179668586,35,196.77239062367335,18,13.139489367754862,6,0.0,0,101.85276909138867,3
Rukavango,106.57871661722245,268,175.96931220890525,389,51.759604583144665,66,0.0,0,1.0,1
Setswana,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Zambezi languages,146.54936631704908,132,72.1334558280942,19,71.25022144393584,10,0.0,0,13.641747545258024,2
