index,hh_wheat_rice_both,hh_wheat_rice_both,hh_wheat_rice_at_least_one,hh_wheat_rice_neither,hh_source_wheat_rice_not_loc_both,hh_source_wheat_rice_not_loc_at_least_one,hh_source_wheat_rice_not_loc_neither,hh_oil_yn,hh_source_oil_not_loc_yn,hh_maize_prod_cons_yn,hh_mahangu_prod_cons_yn,hh_sorghum_prod_cons_yn,maize_gap,mahangu_gap,sorghum_gap,hh_wheat_other_both,hh_wheat_other_at_least_one,hh_wheat_other_neither
,group_wa9,count,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9
Rural,0.2784209079281348,5535,0.32394734842841805,0.39763174364344717,0.2380541176073209,0.3125417814757859,0.4494041009168932,0.7830035759990259,0.7271430865879941,0.10976101960794495,0.43441998345469984,0.12706056956585488,71.97474224743523,116.75609411826451,14.488520318392215,0.4334625031905894,0.507440223022332,0.059097273787078575
Urban,0.6103122866244465,4555,0.2801717307852223,0.10951598259033123,0.592130708964427,0.28501574164768667,0.12285354938788631,0.8609547726048482,0.8490851230526345,0.013942416212750266,0.024145900804361447,0.006686696856623558,13.65573458351535,196.30165200468926,27.37438757061014,0.6784607332803417,0.28227391087197945,0.039265355847678686
!Karas,0.6310562814698506,559,0.292439502895183,0.07650421563496632,0.5986763783747289,0.2905770724697207,0.11074654915555039,0.8261311678576445,0.8031909351115244,0.00250770554889923,0.0005227906908459772,0.0,0.0,300.0,0.0,0.6321546209495902,0.3450845831127207,0.022760795937689163
Erongo,0.6418093450892347,828,0.27068050121590553,0.08751015369485976,0.6311651250480462,0.27424104586106407,0.09459382909088968,0.9038550748074317,0.902487277982821,0.0006716657034954976,0.005214124045068,0.0006997773079227257,100.0,150.78049349934506,0.0,0.6584793835229091,0.288786093927877,0.05273452254921376
Hardap,0.649442379271406,561,0.2769812034735869,0.07357641725500715,0.53200361477008,0.32188501728828495,0.14611136794163515,0.7409365842205476,0.7079635906164138,0.0016567109093559298,0.003971579681621038,0.0,32.00839637229598,57.89161489061177,2.0,0.7974103969686672,0.17734673593615508,0.025242867095177743
Kavango East,0.21612663458597423,554,0.30281776288418133,0.4810556025298446,0.20868117888054605,0.29375546871285857,0.4975633524065956,0.6419278399283636,0.6132492006605308,0.15098971406503262,0.22386328439506767,0.014734184555565594,11.821667260082249,18.087337376780688,6.422628395928639,0.39551758875614185,0.5567606801912981,0.04772173105256016
Kavango West,0.1482240637896744,568,0.2881354017170789,0.5636405344932467,0.13483100487506397,0.23283396018204308,0.6323350349428931,0.6841191790044743,0.6076180892394997,0.35285449135619373,0.5213608990954058,0.07672556651774286,16.49171529997079,24.084304876475382,6.449331089231529,0.3472173701378628,0.5880675308292485,0.06471509903288879
Khomas,0.5970838907087348,1084,0.28519312786493967,0.11772298142632556,0.5791027196355176,0.28551990997753224,0.13537737038695016,0.8413605007987451,0.8289876606770246,0.010951386396577514,0.008046257115342738,0.007885289608394169,16.620373201740968,1076.1789226924839,23.63389309286071,0.6776771585196781,0.28122062192290975,0.0411022195574121
Kunene,0.39459653397778416,570,0.29768639880184267,0.3077170672203732,0.34695705652327574,0.2930133892822902,0.3600295541944341,0.8025473355132852,0.7705093668642051,0.0240922111197786,0.008339420345032225,0.002705824350880817,137.43922520904513,131.11548042103044,25.0,0.5721433983273285,0.40241828946298397,0.025438312209687616
Ohangwena,0.2951404855908842,854,0.32483269732214476,0.3800268170869711,0.25932381407240357,0.3097434073371898,0.43093277859040674,0.767388276106371,0.6852963701544266,0.10765634545263884,0.65636896969762,0.2310994820503694,3.734093671288136,132.7392488272092,5.452813373165079,0.4144124871165785,0.5267652729005298,0.058822239982891704
