index,crops_sold_1,crops_sold_2,crops_sold_3,crops_sold_4,crops_sold_6
Rural,97.26038152387325,8.354998204786991,1.2833113090312274,0.0,10.362025327221623
Urban,18.112112150216912,38.05299889719295,0.3475233028835477,0.0,0.0
!Karas,0.0,0.0,0.0,0.0,0.0
Erongo,0.0,0.0,0.0,0.0,0.0
Hardap,10.669465457431992,0.0,0.0,0.0,0.0
Kavango East,3.4054721237708967,16.524752942016455,0.0,0.0,0.0
Kavango West,1.9863534623365775,3.1152778442345817,3.9344176693376145,0.0,0.0
Khomas,30.96087709295986,257.27937462545896,0.0,0.0,0.0
Kunene,9.53609104751088,0.0,0.0,0.0,21.353527494350775
Ohangwena,0.0,1.5721078367458943,0.5743451158113067,0.0,0.0
Omaheke,103.32941031789746,0.0,0.0,0.0,0.0
Omusati,485.82829669773054,15.470739090948522,0.0,0.0,0.0
Oshana,0.1021523071531282,7.254329889282205,4.076805600358765,0.0,0.0
Oshikoto,11.770711845064504,6.798603638389116,3.4801948770172713,0.0,0.0
Otjozondjupa,36.6461389014179,0.0,7.014555763338556,0.0,0.0
Zambezi,85.35943278344136,21.910587452619737,0.04619985531111975,0.0,0.0
Female,94.58202946167488,6.678914527504134,1.3532813434069306,0.0,0.0
Male,78.42973803624766,14.92033314049313,1.055297446007723,0.0,13.991404739361798
0-18,0.0,0.0,0.0,0.0,0.0
18-59,119.53395433250921,13.96690620078166,1.6578608452875578,0.0,10.665279651144058
60+,19.444302297969493,5.085309423514443,0.6481428583101837,0.0,0.0
No formal education,13.997135507577086,6.186747886820379,1.6197072261618322,0.0,0.0
Not stated,0.0,0.0,0.0,0.0,0.0
Primary,19.197262680342657,0.9324085142824616,0.35686080912862334,0.0,43.78564120581289
Secondary,220.7289716795441,11.281927214125622,2.2964613496897406,0.0,0.0
Tertiary,0.0,125.22137541419964,0.0,0.0,0.0
1,5.698251753740536,0.7570926447560662,0.0,0.0,0.0
2,15.31755474172933,1.178609185582676,0.0,0.0,0.0
3,9.844140916388465,17.61936183602227,0.5586744668376982,0.0,0.0
4,13.455721682487342,4.15817855341643,0.7165681619753524,0.0,0.0
5,280.91352823514205,1.5518067254112802,1.0421324996374495,0.0,0.0
6,35.31731113738208,2.2005401688575628,0.0046873405950480585,0.0,0.0
7,397.6475188815741,46.35752994179713,0.7336178691386275,0.0,0.0
8,3.464315226136593,5.382503130293083,2.620462370400112,0.0,100.0
9,15.277236578461858,4.854278481014046,7.144862222978329,0.0,0.0
10,9.785857779335666,19.69575829635701,0.0,0.0,0.0
Afrikaans,2.966973710448768,0.0,0.0,0.0,0.0
English,0.0,0.0,0.0,0.0,0.0
German,0.0,0.0,0.0,0.0,0.0
Khoisan,0.2860008297908084,0.1832326899309806,0.0,0.0,0.0
Nama/Damara,12.846034695019195,0.0,0.0,0.0,100.0
Oshiwambo,139.71576092936547,10.36650378364675,1.162591974082611,0.0,0.0
Other,0.0,0.0,0.0,0.0,0.0
Other African,0.0,0.0,0.0,0.0,0.0
Other European,0.0,0.0,0.0,0.0,0.0
Otjiherero,65.96443890584806,0.0,0.0,0.0,0.0
Rukavango,14.19386159234909,9.244600701504298,2.9463306614769773,0.0,0.0
Setswana,0.0,0.0,0.0,0.0,0.0
Zambezi languages,72.70930953361322,25.819883400348132,0.055289137333828564,0.0,0.0
