Food item code in Household Survey (item_cod),Food item description in Household Survey (desc),Reference Food Composition Table (FCT),Food code in FCT,Food description in FCT,Food Item Index Matching (Read the text in the comment of this cell),Refuse factor (refuse),Item Group (item_grp),Water (grams),Ash (grams),Protein (grams) (fd_pro),Total Fat (grams) (fd_fat),Total Fiber (grams) (fd_fib),Alcohol (grams) (fd_alc),Carbohydrates including fiber (Total) (grams),Available Carbohydrates by difference (grams) (fd_car),Calories (Kcal),Computed calories (Kcal) (fd_kcal)
1186.99,Other sweeteners (specify),USDA,19906,"SWEETENERS,FOR BAKING,BROWN,CONTAINS SUGAR & SUCRALOSE",,0,,2.44,0.45,0,0,,0,97.11,97.11,388,388.44
1191.01,Mayonnaise,USDA,43598,"MAYONNAISE DRSNG,NO CHOL",,0,,21.7,0.4,0,77.8,0,0,0.1,0.1,688,700.6
1191.02,Tomato Sauces,USDA,6973,"SAUCE,TOMATO CHILI SAU,BTLD,NO SALT,LO NA",,0,,68,0.48,2.5,0.3,0.5,0,28.22,28.22,104,126.58
1191.03,Vinegar,WAFCT,13_003,Vinegar,,0,,98.7,0.2,0.4,0,0,0,0.7,0.7,5,4.4
1191.08,Salad dressings,USDA,43599,"SALAD DRSNG,MAYO DRSNG,DIET,NO CHOL",,0,,39.9,1.9,0.9,33.4,0,0,23.9,23.9,390,399.8
1192.01,Salt,SA_FCT,4288,"Salt, table, iodised",,,,,,,,,,,,,
1192.02,Spices & condiments,WFCT,13_016,"Spices, mix, ground",,0,,8.5,4.7,6.1,8.7,21.6,0,50.4,50.4,348,347.5
1192.03,Garlic,WFCT,04_015,"Garlic, raw",,0.13,,64.3,1.3,6.8,0.4,2.3,0,24.9,24.9,135,135
1193.02,Yeast,WFCT,13_017,"Yeast, dried",,0,,5,8.3,35.6,1.5,19.7,0,29.9,29.9,315,314.9
1193.05,"Custards, puddings, jelly & gelatine",USDA,18969,"CREAM PUFF,ECLAIR,CUSTARD OR CRM FILLED,ICED",,0,,38.64,1,4.41,18.52,0.9,0,36.53,36.53,334,332.24
1193.06,Ready-made soup,USDA,6147,"SOUP,BF MUSHROOM,CND,COND",,0,,85.5,2.3,4.6,2.4,0.2,0,5,5,61,60.4
1193.07,Powdered soup,USDA,6147,"SOUP,BF MUSHROOM,CND,COND",,0,,40.6,1.21,4.05,8.06,0.9,0,45.18,45.18,213,271.26
1195.99,Other foods (specify),USDA,6147,"SOUP,BF MUSHROOM,CND,COND",,0,,85.5,2.3,4.6,2.4,0.2,0,5,5,61,60.4
1211.01,Coffee,West African Table ,12_005,"coffee, instant, powder",A,0,,3.1,8.8,15.4,0.4,0,0,72.4,72.3,354,354.4
1212.01,Tea,SA_FCT,4038,"GOLD PEAK TEA, ICED TEA, SWEET TEA",A,0,,99.8,0,0.1,0,0,0,0,0.1,0,0.8
1213.01,Chocolate drinks,West African Table ,12_008,"GOLD PEAK TEA, ICED TEA, SWEET TEA",A,0,,99.8,0,0.1,0,0,0,0,0.1,0,0.8
1219.99,Other infusions (specify),West African Table ,12_008,"GOLD PEAK TEA, ICED TEA, SWEET TEA",A,0,,99.8,0,0.1,0,0,0,0,0.1,0,0.8
1221.01,Mineral water & ice cubes blocks,West African Table ,12_019,"Water, tap",A,0,,100,0.1,0,0,0,0,0,0,0,0
1222.01,Soft drinks,SA_FCT,3981,"Juice, orange, unsweetened",A,0,,88.9,0.4,0.7,0.2,0.1,0,9.8,9.7,44,43.6
1222.99,"Other non-alcoholic drinks (Energade, Powerade) (specify)",SA_FCT,4007,"Juice, orange, unsweetened",A,0,,88.9,0.4,0.7,0.2,0.1,0,9.8,9.7,44,43.6
1223.01,Fruit juice & squashes,West African Table ,12_011,"Juice, orange, unsweetened",A,0,,88.9,0.4,0.7,0.2,0.1,0,9.8,9.7,44,43.6
1223.02,Mageu/Oshikundu,SA_FCT,4410,"Maize meal, super, porridge, soft (white, fortified)",A,,,,,,,,,,,,
1223.99,Other powdered drinks (specify),West African Table ,12_011,"Juice, orange, unsweetened",A,0,,88.9,0.4,0.7,0.2,0.1,0,9.8,9.7,44,43.6
2111.04,"Local home-made distilled drinks, all types (ombike, kashipembe)",West African Table ,12_004,"Beer, sorghum (est. 3% alcohol)",,0,,94,0.2,0.5,0,0.1,3,2.7,2.2,31,32
2121.01,Wines,West African Table ,12_006,Palm wine (est. 3.8 % alcohol),,0,,93.7,0.2,0.4,0,0,3.8,2.5,1.9,34,35.8
2129.99,Other alcoholic beverages (specify),West African Table ,12_003,"Beer, millet (est. 3 % alcohol)",,0,,91,0.3,0.7,0,0.1,3,5.7,4.9,43,43.6
2131.01,Beer/ Ales/ Ciders,West African Table ,12_001,Beer european (4.4 % alcohol),,0,,93.9,0.1,0.3,0,0,4.4,2,1.3,35,37.2
2131.99,"Local home-made brew, all types (tombo, epwaka, shafuluka)",West African Table ,12_004,"Beer, sorghum (est. 3% alcohol)",,0,,94,0.2,0.5,0,0.1,3,2.7,2.2,31,32
