Food item code in Household Survey (item_cod),Food item description in Household Survey (desc),Reference Food Composition Table (FCT),Food code in FCT,Food description in FCT,Food Item Index Matching (Read the text in the comment of this cell),Refuse factor (refuse),Item Group (item_grp),Water (grams),Ash (grams),Protein (grams) (fd_pro),Total Fat (grams) (fd_fat),Total Fiber (grams) (fd_fib),Alcohol (grams) (fd_alc),Carbohydrates including fiber (Total) (grams),Available Carbohydrates by difference (grams) (fd_car),Calories (Kcal),Computed calories (Kcal) (fd_kcal)
1128.01,"Worms (omaungu, omanghandja, omaenghowa, murere, … etc.)",West African,07_056,"Mopanie worm, canned",,0,,77.3,1.7,14.1,3.6,2.6,0,0.39,0.7,97,96.8
1129.99,Other meat (specify),WAFCT,07_027,"Game meat, dried",,0,,23.4,3.4,66.7,7,0,0,0,0,330,329.8
1131.01,Fresh fish,From the West Africa FCT,09_041,"Tilapia, raw",,0.45,,76.5,1.7,18.8,2.7,0,0,0,0.3,99,100.7
1131.02,Frozen fish,From the West Africa FCT,09_003,"Mackerel, raw",,0.29,,72.5,1.4,19.7,5,0,0,0,1.4,124,129.4
1132.01,"Cray fish, all types",USDA,15145,"CRAYFISH,MXD SP,WILD,RAW",,0,,82.24,1.34,15.97,0.95,0,0,,0,77,72.43
1132.02,"Snails, crabs",USDA,15227,"CRAB,QUEEN,CKD,MOIST HEAT",,0,,75.1,2.56,23.72,1.51,0,0,,0,115,108.47
1132.03,Frogs,USDA,80200,"FROG LEGS,RAW",,0,,81.9,1.4,16.4,0.3,0,0,,0,81.9,68.3
1133.01,Smoked fish,USDA,15035,"Fish,haddock,smoked",,0,,71.48,1.62,25.23,0.96,0,0,0.71,0.71,116,112.4
1133.02,Kapenta/ Eentangu (fresh),From the West Africa FCT,09_004,"Sardine, raw",,0.48,,74.9,2.5,19.4,2.9,0,0,0,0.3,103,104.9
1133.03,Dried fish,USDA,35165,"Fish, white fish, dried, Alska Native",,0,,20.59,5.57,62.44,13.44,0,0,-2.04,0,371,370.72
1134.01,Bottled/ Tinned fish,From the West Africa FCT,09_037,"Sardines in oil, canned (drained solids with bone)",,0,,57.9,3.5,24.7,13.5,0,0,0,0.4,220,221.9
1139.99,Other amphibians (specify),USDA,80200,"FROG LEGS,RAW",,0,,81.9,1.4,16.4,0.3,0,0,,0,81.9,68.3
1141.01,Fresh milk,From the West Africa FCT,10_001,"Milk, cow, whole, 3.5 % fat (includes pasteurised, sterilised and UHT)",,0,,87.7,0.8,3.4,3.7,0,0,4.4,4.4,65,64.5
1141.02,Long life milk,West African FCT,10_001,"Milk, cow, whole, 3.5 % fat (includes pasteurised, sterilised and UHT)",,0,,87.7,0.8,3.4,3.7,0,0,4.3,4.4,65,64.5
1141.99,Other dairy products (specify),WAFCT,10_021,"Yoghurt, whole milk, with fruits",,0,,80.6,1,3.3,3.2,0.5,0,11.4,11.4,89,88.6
1142.01,Fresh milk - Low fat,West African FCT,10_013,"Milk, cow, partly skimmed, 1.5 % fat",,0,,89.3,0.8,3.5,1.6,0,0,4.8,4.8,48,47.6
1142.02,Long life - Low fat,West African FCT,10_014,"Milk, cow,  skimmed, 0.5 % fat",,0,,90.6,0.7,3.5,0.5,0,0,4.7,4.7,37,37.3
1143.01,Condensed milk,West African FCT,10_015,"Milk, cow, canned, condensed, sweetened",,0,,27.2,1.8,7.9,8.7,0,0,54.4,54.4,328,327.5
1143.02,Powdered milk,West African FCT,10_017,"Milk, cow powder, skimmed",A2,0,,3.2,7.9,36.2,0.8,0,0,52,51.9,359,359.6
1143.03,Coffee creamer,West African FCT,10_017,"Milk, cow powder, skimmed",B2,0,,3.2,7.9,36.2,0.8,0,0,52,51.9,359,359.6
1143.04,Baby milk powdered,West African FCT,10_011,"Infant formula, powder, for 3 months",B2,0,,2,2.8,11.9,27.7,0,0,55.6,55.6,519,519.3
1144.01,Clotted/ Cultured milk,West African FCT,10_003,"Milk, Goat, Raw",B2,0,,85.8,0.8,3.4,4.5,0,0,5.5,5.5,76,76.1
1144.02,Yoghurt,West African FCT,10_005,"Yoghurt, whole milk, plain",A,0,,85.3,0.8,3.8,3.4,0,0,6.7,6.7,73,72.6
1144.03,Traditional sour milk,West African FCT,10_013,"Milk, cow, whole, 3.5 % fat (includes pasteurised, sterilised and UHT)",A2,0,,89.3,0.8,3.5,1.6,0,0,4.8,4.8,48,47.6
