Food item code in Household Survey (item_cod),Food item description in Household Survey (desc),Reference Food Composition Table (FCT),Food code in FCT,"Food Item Index Matching (Read the text in the comment of this cell)
",Refuse factor (refuse),Item Group (item_grp),Item Group (diversity_grp)
1168.08,Ground nuts/ Eefukwa,WA_FCT,06_010,,0,,
1168.09,Omahuku,WA_FCT,06_010,,0,,
1168.1,Peanuts & other snack nuts,WA_FCT,06_010,,0,,
1168.11,Ekwa/ Mubuyu,WA_FCT,05_004,,0.28,,
1168.13,!nara,USDA,12635,,0,,
1168.14,Eenyandi,WA_FCT,05_019,,0.43,,
1168.15,Eengungu,USDA_FCT,12635,,0,,
1168.16,Coconuts,USDA_FCT,12104,,0,,
1168.17,Mixed nuts,USDA_FCT,12135,,0,,
1168.19,Dried figs,USDA_FCT,9094,,0,,
1168.2,Dried pears,USDA_FCT,9259,,0,,
1168.22,Dried dates,WA_FCT,05_031,,0,,
1168.99,"Dried fruits, other",USDA_FCT,9188,,0,,
1169.01,Tinned fruits,USDA_FCT,9187,,0,,
1169.02,Frozen fruits,USDA_FCT,9189,,0,,
1169.08,Mixed fruits (fresh),USDA_FCT,9187,,0,,
1169.99,Other fruits & nuts (specify),USDA_FCT,12635,,0,,
1171.01,Lettuce,WA_FCT,04_040,,0.3,,
1171.02,Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,WA_FCT,04_057,,0.28,,
1171.03,Celery,USDA_FCT,11143,,0,,
1171.99,Chives/ Grass onion,USDA_FCT,11291,,0,,
1172.01,Broccoli,USDA_FCT,11090,,0,,
1172.02,Cabbage,WA_FCT,04_005,,0.2,,
1172.03,Cauliflower,USDA_FCT,1135,,0,,
1172.04,Brussels sprout,USDA,111098,,0,,
1173.01,Aubergine/ Egg plant,USDA_FCT,11209,,0,,
1173.02,Beans (fresh),WA_FCT,04_003,,0.17,,
1173.03,Cucumber,WA_FCT,04_032,,0.19,,
1173.04,Green pepper/ Paprika,WA_FCT,04_049,,0.17,,
1173.05,"Peppers, Chilli, raw",WA_FCT,04_046,,0.73,,
1173.06,Mealie/ Corn cob,USDA_FCT,11900,,0,,
1173.07,Peas,USDA_FCT,11304,,0,,
1173.08,"Pumpkins baby marrows & squashes, all types",WA_FCT,04_051,,0.7,,
1173.09,Tomatoes,WA_FCT,04_021,,0.09,,
1174.01,Asparagus,USDA_FCT,11011,,0,,
1174.02,Beetroot,Kenya_FCT,2005,,0.15,,
1174.03,Carrots,WA_FCT,04_006,,0.11,,
1174.05,Leek,Kenya_FCT,4021,,0.45,,
1174.06,Onion,WA_FCT,04_018,,0.09,,
1174.08,Turnip,WA_FCT,04_068,,0,,
1174.09,Mushroom,USDA_FCT,11238,,0,,
1175.01,Beans (dried),WA_FCT,03_022,,0,,
1175.02,Peas (dried),Kenya_FCT,3010,,0,,
1175.03,Lentils,WA_FCT,03_030,,0.19,,
1175.09,"Dried vegetables, other",WA_FCT,04_031,,0,,
1176.01,"Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",USDA_FCT,11941,,0,,
1177.01,"Potatoes, English",WA_FCT,02_009,,0.16,,
1178.01,Sweet potatoes,WA_FCT,02_022,,0.16,,
1178.02,Chips & crisps,Kenya_FCT,15110,,0,,
1178.03,Cassava,USDA_FCT,11134,,0,,
