Food_item_code_in_Household_Survey_item_cod,Food_item_description_in_Household_Survey_desc,Reference_Food_Composition_Table_FCT,Food_code_in_FCT,Food_Item_Index_Matching_Read_the_text_in_the_comment_of_this_cell,Refuse_factor_refuse,Item_Group_item_grp,Item_Group_diversity_grp,Food_description_in_FCT,Calcium (milligrams) (calcium),Iron (milligrams) (iron),Zinc (milligrams) (zinc),Folate (micrograms) (folate),Vitamin C (Ascorbic Acid) (milligrams) (vit_c),Vitamin B1 (Thiamine) (milligrams) (vit_b1),Vitamin B2 (Riboflavin) (milligrams) (vit_b2),Retinol (micrograms) (retinol),Betacarotene equivalents (micrograms) (betacar),Vitamin A (micrograms of RAE) (vita_rae),Vitamin B6 (Pyridoxine) (milligrams) (vit_b6),Vitamin B12 (Cobalamine) (micrograms) (vit_b12),Magnesium (milligrams),Phosphorus (milligrams),Potassium (milligrams),Sodium (milligrams),Copper (milligrams),Vitamin D (micrograms),Vitamin E (milligrams),Niacin (milligrams)
1167.02,Watermelons,WA_FCT,05_038,,0.54,,,"Melon, honeydew, raw",7.0,0.3,0.09,12,14.2,0.03,0.01,0,31,3,0.07,0,9,16.0,228,27,0.03,0,0.08,0.5
1167.03,Pineapples,WA_FCT,05_018,,0.49,,,"Pineapple, pulp, raw",20.0,0.5,0.11,12,29.8,0.07,0.03,0,61,5,0.09,0,12,12.0,205,2,0.2,0,0.1,0.2
1167.99,Passion fruit,Kenya_FCT,5025,,0.48,,,"Passion fruit, dark purple skin, raw",10,0.6,0.8,7,29,0.03,0.14,0,764,64,,0,28,68,200,19,,,,2.5
1168.01,Eendunga/ Munganda,WA_FCT,06_029,C2,0.0,,,"Palm nut kernel, shelled, raw",91.0,9.0,2.37,,,,,0,,,,0,232,239.0,270,,1.49,0,,
1168.02,Oombe (bird plum),WA_FCT,05_019,C2,0.07,,,"Soapberry, fruit, raw",23.0,3.0,,,51.5,0.03,0.04,0,360,30,0,0,2,90.0,,,0.05,0,,0
1168.03,Grapes/ Omandjebere (dry),WA_FCT,05_026,,0.1,,,"Apple, with skin, raw",6.0,0.1,0.04,3,4.6,0.02,0.03,0,33,3,0.04,0,5,11.0,107,1,0.03,0,0.18,0.1
1168.04,Omauni,WA_FCT,05_016,,0.27,,,"Orange, raw",31.0,0.2,0.1,33,46.8,0.04,0.03,0,90,8,0.07,0,11,19.0,166,2,0.05,0,0.28,0.2
1168.05,Omapea,WA_FCT,05_026,,0.1,,,"Apple, with skin, raw",6.0,0.1,0.04,3,4.6,0.02,0.03,0,33,3,0.04,0,5,11.0,107,1,0.03,0,0.18,0.1
1168.08,Ground nuts/ Eefukwa,WA_FCT,06_010,,0.0,,,"Groundnut, shelled, dried, raw",47.0,3.9,2.5,110,0,0.87,0.14,0,0,0,0.59,0,191,359.0,727,6,0.86,0,10.9,15.5
1168.09,Omahuku,WA_FCT,06_010,,0.0,,,"Groundnut, shelled, dried, raw",47.0,3.9,2.5,110,0,0.87,0.14,0,0,0,0.59,0,191,359.0,727,6,0.86,0,10.9,15.5
1168.1,Peanuts & other snack nuts,WA_FCT,06_010,,0.0,,,"Groundnut, shelled, dried, raw",47.0,3.9,2.5,110,0,0.87,0.14,0,0,0,0.59,0,191,359.0,727,6,0.86,0,10.9,15.5
1168.11,Ekwa/ Mubuyu,WA_FCT,05_004,,0.28,,,"Baobab, fruit/Monkey bread, pulp, raw",276.0,5.5,3.6,,247,0.37,0.06,0,70,6,0.02,0,91,83.0,1020,,0.7,0,,2.1
1168.13,!nara,USDA_FCT,12635,,0.0,,,"MIXED NUTS,DRY RSTD,W/PNUTS,W/SALT",70,3.7,3.8,50.0,0.4,0.2,0.2,0.0,3,0.0,0.29600000000000004,0.0,225.0,435.0,597.0,669.0,1.2790000000000001,0,,4.7
1168.14,Eenyandi,WA_FCT,05_019,,0.43,,,"Soapberry, fruit, raw",23.0,3.0,,,51.5,0.03,0.04,0,360,30,0,0,2,90.0,,,0.05,0,,0
1168.15,Eengungu,USDA_FCT,12635,,0.0,,,"MIXED NUTS,DRY RSTD,W/PNUTS,W/SALT",70,3.7,3.8,50.0,0.4,0.2,0.2,0.0,3,0.0,0.29600000000000004,0.0,225.0,435.0,597.0,669.0,1.2790000000000001,0,,4.7
1168.16,Coconuts,USDA_FCT,12104,,0.0,,,"COCONUT MEAT,RAW",14,2.43,1.1,26.0,3.3,0.066,0.02,0.0,0,0.0,0.054000000000000006,0.0,32.0,113.0,356.0,20.0,0.435,0,,0.54
1168.17,Mixed nuts,USDA_FCT,12135,,0.0,,,"MIXED NUTS,DRY RSTD,W/PNUTS,WO/SALT",70,3.7,3.8,50.0,0.4,0.2,0.2,0.0,,1.0,0.29600000000000004,0.0,225.0,435.0,597.0,12.0,1.2790000000000001,0,,4.7
