Food_item_code_in_Household_Survey_item_cod,Food_item_description_in_Household_Survey_desc,Reference_Food_Composition_Table_FCT,Food_code_in_FCT,Food_Item_Index_Matching_Read_the_text_in_the_comment_of_this_cell,Refuse_factor_refuse,Item_Group_item_grp,Item_Group_diversity_grp,Food_description_in_FCT,Calcium (milligrams) (calcium),Iron (milligrams) (iron),Magnesium (milligrams),Phosphorus (milligrams),Potassium (milligrams),Sodium (milligrams),Zinc (milligrams) (zinc),Copper (milligrams),Vitamin A (micrograms of RAE) (vita_rae),Retinol (micrograms) (retinol),Betacarotene equivalents (micrograms) (betacar),Vitamin D (micrograms),Vitamin E (milligrams),Vitamin B1 (Thiamine) (milligrams) (vit_b1),Vitamin B2 (Riboflavin) (milligrams) (vit_b2),Niacin (milligrams),Vitamin B6 (Pyridoxine) (milligrams) (vit_b6),Folate (micrograms) (folate),Vitamin B12 (Cobalamine) (micrograms) (vit_b12),Vitamin C (Ascorbic Acid) (milligrams) (vit_c),Selenium (micrograms)
1142.01,Fresh milk - Low fat,WA_FCT,10_013,,0.0,,,"Milk, cow, partly skimmed, 1.5 % fat",122.0,0.03,12,96.0,153,43,0.41,0.01,14,13,7,0.1,0.04,0.05,0.18,0.1,0.05,12,0.5,1.3,
1142.02,Long life - Low fat,WA_FCT,10_014,,0.0,,,"Milk, cow,  skimmed, 0.5 % fat",124.0,0.03,12,97.0,157,44,0.41,0.01,4,4,2,0.1,0.01,0.04,0.17,0.1,0.05,6,0.5,1.3,
1143.01,Condensed milk,WA_FCT,10_015,,0.0,,,"Milk, cow, canned, condensed, sweetened",284.0,0.2,26,253.0,371,127,0.94,0.02,74,73,14,0.2,[0.16],0.09,0.42,0.2,0.05,11,0.4,2.6,
1143.02,Powdered milk,WA_FCT,10_017,A2,0.0,,,"Milk, cow powder, skimmed",1260.0,0.3,110,968.0,1790,535,4.08,0.04,15,15,7,0,0.04,0.42,1.55,1,0.36,50,4,6.8,
1143.03,Coffee creamer,WA_FCT,10_017,B2,0.0,,,"Milk, cow powder, skimmed",1260.0,0.3,110,968.0,1790,535,4.08,0.04,15,15,7,0,0.04,0.42,1.55,1,0.36,50,4,6.8,
1143.04,Baby milk powdered,WA_FCT,10_011,B2,0.0,,,"Infant formula, powder, for 3 months",358.0,9.3,31,280.0,482,140,3.9,0.37,467,467,0,7.8,5,0.52,0.78,3.9,0.33,39,1,43,
1144.01,Clotted/ Cultured milk,WA_FCT,10_003,B2,0.0,,,"Milk, goat, raw",142.0,0.1,14,119.0,215,48,0.3,0.02,33,33,0,0.1,0.03,0.06,0.17,0.3,0.04,1,0.1,1.5,
1144.02,Yoghurt,WA_FCT,10_005,A,0.0,,,"Yoghurt, whole milk, plain",152.0,0.1,15,127.0,209,64,0.58,0.02,30,29,16,0.1,0.09,0.04,0.2,0.1,0.04,12,0.3,0.7,
1144.03,Traditional sour milk,WA_FCT,10_013,A2,0.0,,,"Milk, cow, partly skimmed, 1.5 % fat",122.0,0.03,12,96.0,153,43,0.41,0.01,14,13,7,0.1,0.04,0.05,0.18,0.1,0.05,12,0.5,1.3,
1145.01,"Cheese, all types",WA_FCT,10_008,A2,0.0,,,"Cheese, Gouda",753.0,0.5,30,556.0,96,665,3.82,0.05,165,164,0,0.4,1.23,0.04,0.33,0.1,0.08,21,1.5,Tr,
1146.01,Cream,WA_FCT,10_010,A2,0.0,,,"Cream, 13 % fat",104.0,0.04,11,79.0,136,39,0.37,0.01,120,115,59,0.2,0.34,0.04,0.19,0.1,0.05,12,0.4,1,
