3.1 Consumption statistics for each food item at national level,,,,,
,Average quantity as purchased (g/capita/day),Average edible quantity (g/capita/day),Average food consumption in monetary value (LCU/capita/day),Average dietary energy consumption (kcal/capita/day),Median dietary energy unit value (LCU/1000 kcal)
Food item code,,,,,
"01167.01  Sweet melons, all types",0.64,0.30,0.01,0.08,198.65
01167.02  Watermelons,6.80,3.13,0.15,0.89,114.24
01167.03  Pineapples,0.07,0.03,0.00,0.02,45.93
01167.99  Passion fruit,0.01,0.00,0.00,0.00,25.68
01168.01  Eendunga/ Munganda,0.51,0.51,0.03,3.08,12.36
01168.02  Oombe,0.11,0.11,0.01,0.05,113.66
01168.03  Grapes/ Omandjebere (dry),0.05,0.04,0.00,0.02,106.83
01168.04  Omauni,0.36,0.26,0.00,0.12,13.86
01168.08  Ground nuts/ Eefukwa,1.52,1.52,0.03,8.79,3.46
01168.09  Omahuku,0.09,0.09,0.00,0.49,6.59
01168.10  Peanuts & other snack nuts,0.09,0.09,0.01,0.53,12.27
01168.11  Ekwa/ Mubuyu,0.01,0.01,0.00,0.02,2.30
01168.13  !nara,0.00,0.00,0.00,0.00,36.91
01168.14  Eenyandi,0.53,0.30,0.00,0.33,7.84
01168.16  Cocoanuts,0.00,0.00,0.00,0.01,47.76
01168.17  Mixed nuts,0.02,0.02,0.00,0.13,10.83
01168.22  Dried dates,0.08,0.08,0.00,0.27,11.58
"01168.99  Dried fruits, other",0.01,0.01,0.00,0.02,53.33
01169.01  Tinned fruits,0.02,0.02,0.00,0.02,44.04
01169.08  Mixed fruits (fresh),0.34,0.34,0.01,0.25,33.15
01169.99  Other fruits & nuts (specify),3.55,3.55,0.05,21.86,1.62
01171.01  Lettuce,0.20,0.14,0.01,0.02,270.73
01171.02  Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,12.77,9.19,0.52,2.56,219.58
01171.99  Chives/ Grass onion,0.05,0.05,0.00,0.02,36.16
01172.01  Broccoli,0.04,0.04,0.00,0.01,263.34
01172.02  Cabbage,4.42,3.54,0.05,0.97,45.79
01172.03  Cauliflower,0.03,0.03,0.00,0.01,191.72
01173.02  Beans (fresh),3.16,2.63,0.20,1.04,196.67
01173.03  Cucumber,0.59,0.47,0.02,0.07,213.33
01173.04  Green pepper/ Paprika,0.49,0.40,0.01,0.11,91.95
01173.05  Chilli,0.29,0.08,0.01,0.04,164.16
01173.06  Mealie/ Corn cob,0.84,0.84,0.01,0.79,14.90
01173.07  Peas,0.07,0.07,0.00,0.05,36.81
"01173.08  Pumpkins baby marrows & squashes, all types",6.09,1.83,0.08,0.52,150.19
01173.09  Tomatoes,6.81,6.20,0.11,1.35,69.53
01174.02  Beetroot,0.66,0.56,0.01,0.25,41.76
01174.03  Carrots,2.19,1.95,0.03,0.69,45.87
01174.06  Onion,6.82,6.21,0.09,2.27,36.13
01174.08  Turnip,0.00,0.00,0.00,0.00,13.47
01174.09  Mushroom,0.13,0.13,0.01,0.05,224.35
01175.01  Beans (dried),3.20,3.20,0.10,10.75,9.05
01175.02  Peas (dried),0.01,0.01,0.00,0.03,8.66
01175.03  Lentils,0.02,0.01,0.00,0.00,105.82
"01175.09  Dried vegetables, other",0.18,0.18,0.01,0.50,17.72
"01176.01  Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",0.83,0.83,0.02,0.08,294.85
"01177.01  Potatoes, English",13.44,11.29,0.17,9.00,19.68
01178.01  Sweet potatoes,1.22,1.02,0.02,1.17,16.48
01178.02  Chips & crisps,2.20,2.20,0.13,7.16,16.09
01178.03  Cassava,0.16,0.16,0.00,0.25,3.91
01178.05  Frozen vegetables,0.13,0.13,0.00,0.07,58.51
01179.08  Mixed vegetables,1.13,1.13,0.04,0.34,117.73
01179.99  Other vegetables & tubers (specify),1.24,1.24,0.02,3.49,4.79
01181.01  Sugar,8.82,8.82,0.29,35.26,7.39
01181.02  Sugar cane,0.06,0.06,0.00,0.02,47.30
01181.03  Icing sugar,0.01,0.01,0.00,0.04,10.42
01182.01  Honey,0.01,0.01,0.00,0.03,25.21
01182.02  Jam,0.11,0.11,0.00,0.30,12.70
01183.01  Chocolate,0.18,0.18,0.05,1.02,22.56
01184.01  Sweets,0.38,0.38,0.01,1.52,4.25
01185.01  Ice cream,0.21,0.21,0.01,0.31,20.79
01186.01  Syrup,0.00,0.00,0.00,0.01,23.53
01186.99  Other sweeteners (specify),0.17,0.17,0.01,0.67,18.87
01191.01  Mayonnaise,0.30,0.30,0.01,2.13,4.00
01191.02  Tomato Sauces,0.53,0.53,0.01,0.67,18.42
01191.03  Vinegar,0.01,0.01,0.00,0.00,303.03
01191.04  Chilli sauce,0.00,0.00,0.00,0.01,45.03
01191.05  Chutney,0.01,0.01,0.00,0.03,5.89
01191.06  Garlic sauce,0.01,0.01,0.00,0.01,23.28
01191.07  Mustard sauce,0.00,0.00,0.00,0.00,197.10
01191.08  Salad dressings,0.24,0.24,0.01,0.90,11.79
01191.09  Soy sauce,0.01,0.01,0.00,0.00,96.17
01191.10  Worcestershire sauce,0.00,0.00,0.00,0.00,102.13
01192.01  Salt,1.26,1.26,0.14,0.00,
01192.02  Spices & condiments,0.19,0.19,0.05,0.67,102.77
01192.03  Garlic,0.01,0.01,0.00,0.01,88.78
01192.04  Ginger,0.00,0.00,0.00,0.00,35.23
01193.01  Baking powder,0.01,0.01,0.00,0.02,39.88
01193.02  Yeast,0.01,0.01,0.00,0.04,127.02
01193.03  Bottled baby food,0.00,0.00,0.00,0.00,64.36
01193.04  Cake essences,0.00,0.00,0.00,0.00,40.31
"01193.05  Custards, puddings, jelly & gelatine",0.10,0.10,0.00,0.32,9.43
01193.06  Ready-made soup,0.17,0.17,0.01,0.10,14.47
01193.07  Powdered soup,1.09,1.09,0.15,2.97,60.58
01194.01  Ready-made frozen food,0.09,0.09,0.00,0.24,29.00
01195.99  Other foods (specify),8.71,8.71,0.17,38.56,4.29
01211.01  Coffee,0.58,0.58,0.08,2.05,67.18
01212.01  Tea,20.44,20.44,0.10,0.16,312.50
01213.01  Chocolate drinks,0.08,0.08,0.00,0.30,7.59
01219.99  Other infusions (specify),0.78,0.78,0.03,0.01,9326.99
01221.01  Mineral water & ice cubes blocks,2.38,2.38,0.02,0.00,
01222.01  Soft drinks,19.32,19.32,0.27,7.97,33.76
"01222.99  Other non-alcoholic drinks (Energade, Powerade) (specify)",2.78,2.78,0.05,1.15,39.65
01223.01  Fruit juice & squashes,12.13,12.13,0.25,5.29,45.61
01223.02  Mageu/Oshikundu,103.97,103.97,0.38,50.64,7.17
01223.99  Other powdered drinks (specify),0.39,0.39,0.01,0.17,58.85
02111.01  Brandies,0.02,0.02,0.00,0.06,36.66
02111.03  White spirits,0.01,0.01,0.00,0.05,15.00
"02111.04  Local home-made distilled drinks, all types (ombike, kashipembe)",0.09,0.09,0.01,0.03,156.25
02111.05  Liqueurs,0.02,0.02,0.00,0.10,13.33
02111.06  Whiskies,0.07,0.07,2.60,226.29,10.22
02121.01  Wines,0.57,0.57,0.03,0.20,130.35
02122.01  Sparkling wines/ Champagnes,0.04,0.04,0.00,0.17,10.00
02122.99  Marunga (palm wine made traditional way),0.32,0.32,0.00,1.27,3.12
02129.99  Other alcoholic beverages (specify),0.85,0.85,0.02,3.41,5.83
02131.01  Beer/ Ales/ Ciders,5.11,5.11,0.07,1.90,64.52
"02131.99  Local home-made brew, all types (tombo, epwaka, shafuluka)",4.74,4.74,0.02,1.52,16.41
,,,,,
,,,,,
,,,,,
Back to the table of contents,,,,,
