3.5 Consumption statistics for each food item by region,,,,,
,Average quantity as purchased (g/capita/day),Average edible quantity (g/capita/day),Average food consumption in monetary value (LCU/capita/day),Average dietary energy consumption (kcal/capita/day),Median dietary energy unit value (LCU/1000 kcal)
region,,,,,
,,,,,
!Karas,,,,,
"01152.99  Spreads, other (specify)",0.03,0.03,0.00,0.19,12.50
01154.01  Cooking oil,3.99,3.99,0.17,35.95,5.50
01154.02  Olive oil,0.02,0.02,0.00,0.14,6.63
01155.01  Cooking fats,0.23,0.23,0.01,2.08,3.11
01155.03  Komazam & sheep tail fat,0.10,0.10,0.01,0.86,6.70
01159.99  Other oils & fats (specify),0.02,0.02,0.00,0.21,3.59
"01161.01  Citrus fruits (orange, lemon, etc.)",1.05,0.77,0.02,0.35,37.00
01162.01  Bananas,1.09,0.70,0.02,0.69,26.71
01163.01  Apples,1.12,1.01,0.02,0.53,37.01
01164.01  Pears,0.11,0.11,0.00,0.06,34.33
01165.01  Apricots,0.16,0.16,0.00,0.08,56.49
01165.02  Avocados,0.01,0.01,0.00,0.02,144.40
01165.04  Mangoes,0.04,0.03,0.00,0.02,166.75
01165.06  Peaches,0.16,0.14,0.00,0.07,64.64
01166.04  Grapes/ Omandjebere (fresh),0.02,0.02,0.00,0.01,113.25
"01167.01  Sweet melons, all types",0.10,0.05,0.00,0.01,298.17
01167.02  Watermelons,2.11,0.97,0.07,0.28,237.76
01167.03  Pineapples,0.13,0.07,0.00,0.04,115.04
01168.22  Dried dates,0.01,0.01,0.00,0.03,11.58
01169.08  Mixed fruits (fresh),0.05,0.05,0.00,0.04,71.47
01169.99  Other fruits & nuts (specify),0.15,0.15,0.00,0.92,1.62
01171.01  Lettuce,0.24,0.17,0.01,0.03,270.73
01171.02  Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,0.20,0.14,0.01,0.04,230.64
01171.99  Chives/ Grass onion,0.03,0.03,0.00,0.01,36.16
01172.01  Broccoli,0.01,0.01,0.00,0.00,263.34
01172.02  Cabbage,1.08,0.87,0.02,0.24,64.71
01172.03  Cauliflower,0.06,0.06,0.00,0.02,151.87
01173.02  Beans (fresh),0.92,0.76,0.02,0.30,74.21
01173.03  Cucumber,1.02,0.82,0.03,0.12,213.33
01173.04  Green pepper/ Paprika,0.49,0.41,0.01,0.11,91.95
01173.06  Mealie/ Corn cob,0.82,0.82,0.01,0.77,16.36
01173.07  Peas,0.57,0.57,0.01,0.41,36.81
"01173.08  Pumpkins baby marrows & squashes, all types",2.24,0.67,0.03,0.19,150.19
01173.09  Tomatoes,2.63,2.39,0.04,0.52,69.53
01174.02  Beetroot,2.83,2.40,0.05,1.06,41.76
01174.03  Carrots,4.27,3.80,0.06,1.36,34.59
01174.06  Onion,7.28,6.62,0.09,2.42,36.13
01174.09  Mushroom,0.02,0.02,0.00,0.01,224.35
01175.01  Beans (dried),0.08,0.08,0.00,0.27,9.53
01175.03  Lentils,0.09,0.08,0.00,0.02,105.82
"01176.01  Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",2.09,2.09,0.05,0.20,294.85
"01177.01  Potatoes, English",22.68,19.05,0.24,15.18,14.72
01178.01  Sweet potatoes,1.00,0.84,0.02,0.97,16.48
01178.02  Chips & crisps,2.38,2.38,0.14,7.73,8.37
01178.05  Frozen vegetables,0.28,0.28,0.01,0.16,58.51
01179.08  Mixed vegetables,2.56,2.56,0.09,0.78,117.73
01179.99  Other vegetables & tubers (specify),2.11,2.11,0.03,5.95,4.79
01181.01  Sugar,18.29,18.29,0.66,73.17,8.16
01181.03  Icing sugar,0.06,0.06,0.00,0.24,10.42
01182.01  Honey,0.00,0.00,0.00,0.02,25.21
01182.02  Jam,0.15,0.15,0.01,0.41,12.70
01183.01  Chocolate,0.14,0.14,0.06,0.79,22.56
01184.01  Sweets,0.29,0.29,0.01,1.14,4.25
01185.01  Ice cream,0.38,0.38,0.01,0.57,20.79
01186.01  Syrup,0.01,0.01,0.00,0.02,23.53
01186.99  Other sweeteners (specify),0.05,0.05,0.00,0.18,18.87
01191.01  Mayonnaise,0.82,0.82,0.02,5.76,4.00
01191.02  Tomato Sauces,0.21,0.21,0.00,0.27,18.42
01191.03  Vinegar,0.06,0.06,0.00,0.00,303.03
01191.05  Chutney,0.05,0.05,0.00,0.21,5.89
01191.08  Salad dressings,2.04,2.04,0.10,7.69,8.25
01191.09  Soy sauce,0.06,0.06,0.00,0.03,58.95
01191.10  Worcestershire sauce,0.04,0.04,0.00,0.03,102.13
01192.01  Salt,1.15,1.15,0.13,0.00,
01192.02  Spices & condiments,0.42,0.42,0.10,1.47,102.77
01193.02  Yeast,0.12,0.12,0.04,0.38,127.02
"01193.05  Custards, puddings, jelly & gelatine",0.51,0.51,0.01,1.69,9.43
01193.06  Ready-made soup,0.36,0.36,0.02,0.22,68.98
01193.07  Powdered soup,1.12,1.12,0.11,3.03,36.86
01194.01  Ready-made frozen food,0.05,0.05,0.00,0.15,20.00
01195.99  Other foods (specify),53.28,53.28,1.03,235.91,4.29
01211.01  Coffee,2.22,2.22,0.29,7.86,59.26
01212.01  Tea,57.95,57.95,0.20,0.46,312.50
01213.01  Chocolate drinks,0.17,0.17,0.01,0.69,7.59
01219.99  Other infusions (specify),0.23,0.23,0.01,0.00,9435.20
01221.01  Mineral water & ice cubes blocks,0.41,0.41,0.00,0.00,
01222.01  Soft drinks,35.24,35.24,0.50,14.55,33.76
"01222.99  Other non-alcoholic drinks (Energade, Powerade) (specify)",0.27,0.27,0.00,0.11,38.06
01223.01  Fruit juice & squashes,16.21,16.21,0.33,7.07,45.43
01223.02  Mageu/Oshikundu,3.77,3.77,0.02,1.84,8.55
01223.99  Other powdered drinks (specify),0.91,0.91,0.02,0.40,43.60
"02111.04  Local home-made distilled drinks, all types (ombike, kashipembe)",0.06,0.06,0.00,0.02,360.24
02111.06  Whiskies,0.01,0.01,1.42,115.57,11.82
02121.01  Wines,0.65,0.65,0.04,0.23,130.35
02129.99  Other alcoholic beverages (specify),0.17,0.17,0.01,0.68,7.65
02131.01  Beer/ Ales/ Ciders,9.85,9.85,0.11,3.67,50.82
"02131.99  Local home-made brew, all types (tombo, epwaka, shafuluka)",2.07,2.07,0.01,0.66,16.67
01143.01  Condensed milk,0.04,0.04,0.00,0.13,23.82
01166.01  Strawberries,0.01,0.01,0.00,0.00,302.81
01168.17  Mixed nuts,0.00,0.00,0.00,0.02,22.59
01175.02  Peas (dried),0.02,0.02,0.00,0.05,8.66
01191.04  Chilli sauce,0.02,0.02,0.00,0.02,45.03
02122.01  Sparkling wines/ Champagnes,0.05,0.05,0.00,0.19,10.00
01192.04  Ginger,0.02,0.01,0.00,0.05,35.23
02111.05  Liqueurs,0.05,0.05,0.00,0.21,13.33
,,,,,
Kavango East,,,,,
01111.01  Rice,8.95,8.95,0.10,31.25,2.97
"01112.01  Bread (white, brown, whole wheat, rye, maize, etc.)",64.97,64.97,2.25,161.72,7.44
01112.02  Brotchen,0.09,0.09,0.01,0.23,46.95
"01112.03  Biscuits, rusks",0.31,0.31,0.01,0.82,14.99
01112.04  Vetkoek,5.77,5.77,0.04,15.24,2.52
"01112.09  Traditional bread, ash bread, oshikwiila, oshima, omungome",2.07,2.07,0.02,5.48,2.91
"01113.01  Macaroni, spaghetti, noodles",7.89,7.89,0.14,29.18,4.27
01114.01  Cakes (all types),1.23,1.23,0.09,4.14,22.78
01114.02  Pies & pizzas,0.37,0.37,0.02,1.88,11.95
01115.01  Breakfast cereals (all types),0.84,0.84,0.05,0.32,175.20
"01115.02  Baby foods, cereals",0.04,0.04,0.00,0.14,22.34
01115.03  Bread/ cake flour (all types),0.31,0.31,0.01,0.77,5.08
01115.04  Maize meal/ grain/ samp,177.73,177.73,2.05,612.29,3.36
01115.05  Mahangu meal/ grain/ samp,22.61,22.61,0.39,82.44,4.70
01115.06  Sorghum meal/ grain,0.04,0.04,0.00,0.15,21.68
01119.01  Other bread & cereals (specify),0.40,0.40,0.00,0.45,7.03
01121.01  Beef,57.56,57.56,1.89,135.61,26.61
01122.01  Pork,0.43,0.43,0.01,1.75,17.60
01123.01  Goat meat,4.13,3.05,0.12,5.39,22.96
01123.02  Mutton/ Lamb,1.32,0.99,0.07,3.28,20.20
01124.01  Chicken,16.73,16.73,0.58,22.54,25.92
01125.01  Bacon,0.01,0.01,0.00,0.02,39.72
01125.02  Ham,0.01,0.01,0.00,0.01,85.47
01125.03  Biltong,0.07,0.07,0.01,0.08,148.56
"01125.04  Smoked meat, other than bacon & ham",0.02,0.02,0.00,0.04,18.50
01125.05  Polony,0.27,0.27,0.02,0.68,21.28
"01125.06  Sausages, other than polony",2.64,2.64,0.15,5.98,28.10
"01125.07  Offals, meat waste",0.43,0.43,0.01,0.35,17.93
01125.08  Liver & kidneys,0.23,0.23,0.01,0.30,32.97
01126.01  Minced meat,1.34,1.34,0.08,2.29,34.76
01126.02  Canned meat,0.71,0.71,0.04,1.71,24.74
01127.01  Game/ Iguana,2.63,2.63,0.12,2.99,43.97
01127.03  Donkey,0.01,0.01,0.00,0.02,15.26
"01128.01  Worms (omaungu, omanghandja, omaenghowa, murere,",0.22,0.22,0.01,0.22,41.32
01129.99  Other meat (specify),0.65,0.65,0.02,2.13,9.50
01131.01  Fresh fish,14.17,7.79,0.41,7.85,32.24
01131.02  Frozen fish,12.60,8.95,1.17,11.58,128.27
01133.01  Smoked fish,0.72,0.72,1.60,0.81,2236.47
01133.03  Dried fish,0.68,0.68,0.04,2.51,9.16
01134.01  Bottled/ Tinned fish,1.87,1.87,0.09,4.16,22.53
01141.01  Fresh milk,4.88,4.88,0.08,3.15,25.02
01141.02  Long life milk,0.50,0.50,0.01,0.32,40.14
01141.99  Other dairy products (specify),0.22,0.22,0.01,0.19,28.17
01143.02  Powdered milk,0.08,0.08,0.02,0.29,66.21
01143.03  Coffee creamer,0.03,0.03,0.00,0.10,9.45
01143.04  Baby milk powdered,0.08,0.08,0.00,0.41,7.94
01144.01  Clotted/ Cultured milk,1.50,1.50,0.04,1.14,36.71
01144.02  Yoghurt,0.36,0.36,0.01,0.26,45.89
01144.03  Traditional sour milk,9.24,9.24,0.10,4.40,20.20
"01145.01  Cheese, all types",0.19,0.19,0.02,0.69,27.18
01146.01  Cream,0.00,0.00,0.00,0.00,51.18
01147.01  Eggs,0.99,0.99,0.04,1.37,27.62
01151.01  Butter,0.11,0.11,0.03,0.82,33.96
01152.01  Margarine & margarine spreads,0.10,0.10,0.00,0.74,4.93
01152.02  Peanut butter,0.03,0.03,0.00,0.17,8.83
01154.01  Cooking oil,5.44,5.44,0.26,48.94,5.50
01154.02  Olive oil,0.01,0.01,0.00,0.08,6.63
01155.01  Cooking fats,0.00,0.00,0.00,0.02,3.11
01159.99  Other oils & fats (specify),0.00,0.00,0.00,0.03,7.81
"01161.01  Citrus fruits (orange, lemon, etc.)",0.86,0.63,0.01,0.28,37.00
01162.01  Bananas,0.63,0.41,0.01,0.40,26.71
01163.01  Apples,1.26,1.13,0.02,0.60,37.01
01164.01  Pears,0.13,0.13,0.00,0.07,34.33
01165.04  Mangoes,0.48,0.34,0.04,0.26,166.75
01166.04  Grapes/ Omandjebere (fresh),0.00,0.00,0.00,0.00,113.25
01166.05  Guavas,0.01,0.01,0.00,0.00,23.14
"01167.01  Sweet melons, all types",4.73,2.18,0.07,0.62,298.37
01167.02  Watermelons,6.18,2.84,0.11,0.81,50.85
01168.08  Ground nuts/ Eefukwa,2.23,2.23,0.04,12.87,3.46
01168.10  Peanuts & other snack nuts,0.43,0.43,0.02,2.47,8.31
01169.99  Other fruits & nuts (specify),23.23,23.23,0.35,143.04,1.62
01171.01  Lettuce,0.01,0.01,0.00,0.00,217.32
01171.02  Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,13.07,9.41,0.60,2.62,230.64
01171.99  Chives/ Grass onion,0.04,0.04,0.00,0.01,36.16
01172.02  Cabbage,15.29,12.23,0.17,3.34,45.79
01172.03  Cauliflower,0.00,0.00,0.00,0.00,139.92
01173.02  Beans (fresh),1.20,1.00,0.07,0.40,196.67
01173.03  Cucumber,0.00,0.00,0.00,0.00,298.34
01173.04  Green pepper/ Paprika,0.36,0.29,0.01,0.08,91.95
01173.05  Chilli,0.02,0.01,0.00,0.00,164.16
01173.06  Mealie/ Corn cob,1.23,1.23,0.02,1.16,13.55
"01173.08  Pumpkins baby marrows & squashes, all types",5.31,1.59,0.07,0.45,150.19
01173.09  Tomatoes,6.48,5.90,0.10,1.29,69.53
01174.03  Carrots,0.32,0.28,0.00,0.10,34.59
01174.06  Onion,5.78,5.26,0.07,1.92,36.13
01174.09  Mushroom,0.05,0.05,0.00,0.02,273.53
01175.01  Beans (dried),2.09,2.09,0.06,7.02,9.05
"01175.09  Dried vegetables, other",0.50,0.50,0.02,1.41,12.65
"01176.01  Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",0.55,0.55,0.01,0.05,294.85
"01177.01  Potatoes, English",7.41,6.22,0.10,4.96,21.36
01178.01  Sweet potatoes,0.32,0.27,0.00,0.31,12.56
01178.02  Chips & crisps,1.26,1.26,0.07,4.12,16.09
01178.05  Frozen vegetables,0.02,0.02,0.00,0.01,66.68
01179.08  Mixed vegetables,0.29,0.29,0.01,0.09,114.89
01179.99  Other vegetables & tubers (specify),5.69,5.69,0.08,16.04,4.79
01181.01  Sugar,3.48,3.48,0.12,13.91,13.22
01182.02  Jam,0.02,0.02,0.00,0.05,12.70
01183.01  Chocolate,0.08,0.08,0.01,0.45,22.56
01184.01  Sweets,0.18,0.18,0.00,0.71,4.25
01185.01  Ice cream,0.19,0.19,0.01,0.28,17.20
01186.99  Other sweeteners (specify),0.92,0.92,0.05,3.58,18.87
01191.01  Mayonnaise,0.27,0.27,0.01,1.88,4.00
01191.02  Tomato Sauces,0.33,0.33,0.01,0.42,18.42
01191.03  Vinegar,0.00,0.00,0.00,0.00,303.03
01191.09  Soy sauce,0.02,0.02,0.00,0.01,96.17
01192.01  Salt,0.79,0.79,0.11,0.00,
01192.02  Spices & condiments,0.06,0.06,0.02,0.22,102.77
01192.03  Garlic,0.02,0.02,0.00,0.03,69.25
01193.02  Yeast,0.00,0.00,0.00,0.00,127.02
"01193.05  Custards, puddings, jelly & gelatine",0.01,0.01,0.00,0.04,6.69
01193.06  Ready-made soup,0.00,0.00,0.00,0.00,14.47
01193.07  Powdered soup,1.05,1.05,0.15,2.84,60.58
01195.99  Other foods (specify),16.97,16.97,0.32,75.17,4.29
01211.01  Coffee,0.25,0.25,0.03,0.90,67.18
01212.01  Tea,3.49,3.49,0.03,0.03,3834.90
01219.99  Other infusions (specify),2.20,2.20,0.16,0.02,9444.44
01221.01  Mineral water & ice cubes blocks,0.47,0.47,0.00,0.00,
01222.01  Soft drinks,11.73,11.73,0.17,4.84,33.76
"01222.99  Other non-alcoholic drinks (Energade, Powerade) (specify)",0.28,0.28,0.01,0.11,117.57
01223.01  Fruit juice & squashes,9.67,9.67,0.19,4.22,45.51
01223.02  Mageu/Oshikundu,69.77,69.77,0.29,33.98,7.17
01223.99  Other powdered drinks (specify),0.82,0.82,0.02,0.36,43.60
"02111.04  Local home-made distilled drinks, all types (ombike, kashipembe)",0.03,0.03,0.00,0.01,360.24
02111.06  Whiskies,0.00,0.00,0.14,15.79,7.87
02121.01  Wines,0.19,0.19,0.01,0.07,180.65
02131.01  Beer/ Ales/ Ciders,2.41,2.41,0.04,0.90,64.52
"02131.99  Local home-made brew, all types (tombo, epwaka, shafuluka)",1.60,1.60,0.01,0.51,16.41
"01124.02  Birds, other than chicken",0.18,0.18,0.01,0.36,17.49
01168.16  Cocoanuts,0.01,0.01,0.00,0.03,47.76
01168.17  Mixed nuts,0.00,0.00,0.00,0.02,10.83
01191.04  Chilli sauce,0.00,0.00,0.00,0.00,45.03
02111.05  Liqueurs,0.08,0.08,0.01,0.31,33.98
01168.04  Omauni,1.25,0.91,0.01,0.41,13.86
01168.09  Omahuku,0.01,0.01,0.00,0.06,4.06
01169.01  Tinned fruits,0.01,0.01,0.00,0.01,44.04
01178.03  Cassava,1.89,1.89,0.01,2.96,3.91
,,,,,
Kavango West,,,,,
01111.01  Rice,4.07,4.07,0.05,14.21,2.97
"01112.01  Bread (white, brown, whole wheat, rye, maize, etc.)",31.46,31.46,0.58,78.31,7.44
01112.02  Brotchen,0.12,0.12,0.01,0.32,46.95
"01112.03  Biscuits, rusks",0.11,0.11,0.00,0.28,10.26
01112.04  Vetkoek,3.92,3.92,0.03,10.36,2.52
"01112.09  Traditional bread, ash bread, oshikwiila, oshima, omungome",0.85,0.85,0.01,2.24,2.91
"01113.01  Macaroni, spaghetti, noodles",3.72,3.72,0.07,13.77,4.27
01114.01  Cakes (all types),2.31,2.31,0.18,7.75,22.78
01114.02  Pies & pizzas,0.00,0.00,0.00,0.00,10.14
01115.01  Breakfast cereals (all types),0.37,0.37,0.01,0.14,175.20
"01115.02  Baby foods, cereals",0.01,0.01,0.00,0.04,22.34
01115.03  Bread/ cake flour (all types),0.39,0.39,0.01,0.97,5.08
01115.04  Maize meal/ grain/ samp,219.90,219.90,2.56,757.55,3.36
01115.05  Mahangu meal/ grain/ samp,66.10,66.10,1.15,240.99,4.70
01115.06  Sorghum meal/ grain,0.96,0.96,0.07,3.31,21.68
01119.01  Other bread & cereals (specify),0.01,0.01,0.00,0.01,15.84
01121.01  Beef,25.39,25.39,1.31,59.82,26.61
01122.01  Pork,0.84,0.84,0.06,3.40,17.60
01123.01  Goat meat,1.70,1.26,0.05,2.22,22.96
01123.02  Mutton/ Lamb,0.62,0.46,0.05,1.52,33.52
01124.01  Chicken,10.05,10.05,0.35,13.54,25.92
01125.05  Polony,0.29,0.29,0.02,0.73,20.76
"01125.06  Sausages, other than polony",0.89,0.89,0.05,2.02,28.10
01125.08  Liver & kidneys,0.06,0.06,0.00,0.08,32.97
01126.01  Minced meat,0.20,0.20,0.01,0.33,34.76
01126.02  Canned meat,0.24,0.24,0.01,0.58,24.74
01127.01  Game/ Iguana,1.08,1.08,0.05,1.23,43.97
"01128.01  Worms (omaungu, omanghandja, omaenghowa, murere,",0.09,0.09,0.00,0.09,41.32
01129.99  Other meat (specify),0.06,0.06,0.00,0.20,9.50
01131.01  Fresh fish,15.31,8.42,0.34,8.48,32.24
01131.02  Frozen fish,4.08,2.90,0.51,3.75,159.53
01133.01  Smoked fish,0.37,0.37,0.46,0.41,896.19
01133.02  Kapenta/ Eentangu (fresh),0.00,0.00,0.00,0.00,178.23
01133.03  Dried fish,1.00,1.00,0.07,3.69,9.16
01134.01  Bottled/ Tinned fish,1.54,1.54,0.07,3.41,22.53
01141.01  Fresh milk,4.16,4.16,0.07,2.69,25.80
01141.99  Other dairy products (specify),0.01,0.01,0.00,0.01,29.35
01143.02  Powdered milk,0.06,0.06,0.01,0.22,38.85
01143.03  Coffee creamer,0.00,0.00,0.00,0.00,9.45
01144.01  Clotted/ Cultured milk,0.56,0.56,0.02,0.43,36.72
01144.02  Yoghurt,0.05,0.05,0.00,0.03,40.34
01144.03  Traditional sour milk,8.70,8.70,0.09,4.14,20.20
"01145.01  Cheese, all types",0.11,0.11,0.02,0.42,53.66
01147.01  Eggs,0.36,0.36,0.01,0.49,27.62
01151.01  Butter,0.11,0.11,0.02,0.81,33.96
01152.01  Margarine & margarine spreads,0.02,0.02,0.00,0.13,4.93
01152.02  Peanut butter,0.01,0.01,0.00,0.06,8.83
01154.01  Cooking oil,4.42,4.42,0.20,39.77,5.50
01154.02  Olive oil,0.01,0.01,0.00,0.08,6.63
01155.01  Cooking fats,0.02,0.02,0.00,0.14,3.11
01159.99  Other oils & fats (specify),0.01,0.01,0.00,0.07,7.81
"01161.01  Citrus fruits (orange, lemon, etc.)",0.21,0.16,0.00,0.07,37.00
01162.01  Bananas,0.31,0.20,0.01,0.19,28.49
01163.01  Apples,0.34,0.31,0.01,0.16,37.01
01164.01  Pears,0.01,0.01,0.00,0.01,42.55
01165.02  Avocados,0.01,0.00,0.00,0.01,18.81
01165.04  Mangoes,0.03,0.02,0.00,0.02,166.75
01166.04  Grapes/ Omandjebere (fresh),0.04,0.04,0.00,0.01,113.25
01166.05  Guavas,0.04,0.03,0.00,0.02,36.66
01167.02  Watermelons,1.43,0.66,0.03,0.19,50.85
01168.08  Ground nuts/ Eefukwa,5.41,5.41,0.11,31.25,3.46
01168.10  Peanuts & other snack nuts,0.04,0.04,0.00,0.24,8.31
01169.99  Other fruits & nuts (specify),30.12,30.12,0.36,185.42,1.62
01171.01  Lettuce,0.01,0.01,0.00,0.00,821.02
01171.02  Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,32.71,23.55,1.48,6.55,230.64
01171.99  Chives/ Grass onion,0.00,0.00,0.00,0.00,65.47
01172.01  Broccoli,0.00,0.00,0.00,0.00,96.66
01172.02  Cabbage,7.90,6.32,0.09,1.72,45.79
01173.02  Beans (fresh),1.40,1.16,0.08,0.46,196.67
01173.04  Green pepper/ Paprika,0.05,0.04,0.00,0.01,91.95
01173.05  Chilli,0.01,0.00,0.00,0.00,164.16
01173.06  Mealie/ Corn cob,1.32,1.32,0.02,1.24,16.36
01173.07  Peas,0.06,0.06,0.00,0.04,37.71
"01173.08  Pumpkins baby marrows & squashes, all types",15.97,4.79,0.21,1.37,150.19
01173.09  Tomatoes,3.09,2.81,0.05,0.61,69.53
01174.02  Beetroot,0.20,0.17,0.00,0.08,41.76
01174.03  Carrots,0.22,0.19,0.00,0.07,34.59
01174.06  Onion,3.16,2.88,0.04,1.05,36.13
01174.09  Mushroom,0.03,0.03,0.00,0.01,273.53
01175.01  Beans (dried),6.45,6.45,0.20,21.67,9.05
01175.03  Lentils,0.00,0.00,0.00,0.00,122.75
"01175.09  Dried vegetables, other",0.28,0.28,0.01,0.79,12.65
"01176.01  Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",0.28,0.28,0.01,0.03,194.57
"01177.01  Potatoes, English",2.82,2.37,0.04,1.89,21.36
01178.01  Sweet potatoes,0.90,0.76,0.01,0.87,16.48
01178.02  Chips & crisps,0.20,0.20,0.01,0.65,16.09
01179.08  Mixed vegetables,0.03,0.03,0.00,0.01,114.89
01179.99  Other vegetables & tubers (specify),0.40,0.40,0.01,1.13,9.93
01181.01  Sugar,2.60,2.60,0.07,10.41,7.39
01181.02  Sugar cane,0.26,0.26,0.00,0.10,47.30
01182.01  Honey,0.02,0.02,0.00,0.06,2.88
01182.02  Jam,0.02,0.02,0.00,0.06,12.70
01183.01  Chocolate,0.16,0.16,0.00,0.88,3.25
01184.01  Sweets,0.16,0.16,0.00,0.63,4.25
01186.01  Syrup,0.00,0.00,0.00,0.00,23.53
01186.99  Other sweeteners (specify),0.73,0.73,0.05,2.83,18.87
01191.01  Mayonnaise,0.05,0.05,0.00,0.37,4.00
01191.02  Tomato Sauces,0.12,0.12,0.00,0.15,18.42
01192.01  Salt,0.78,0.78,0.08,0.00,
01192.02  Spices & condiments,0.03,0.03,0.01,0.09,102.77
01192.03  Garlic,0.00,0.00,0.00,0.00,88.78
01193.01  Baking powder,0.04,0.04,0.00,0.10,46.82
01193.02  Yeast,0.00,0.00,0.00,0.00,127.02
01193.06  Ready-made soup,0.01,0.01,0.00,0.01,14.47
01193.07  Powdered soup,0.91,0.91,0.13,2.48,60.58
01194.01  Ready-made frozen food,0.07,0.07,0.00,0.18,6.45
01195.99  Other foods (specify),10.40,10.40,0.20,46.04,4.29
01211.01  Coffee,0.49,0.49,0.03,1.72,19.73
01212.01  Tea,2.26,2.26,0.01,0.02,312.50
01213.01  Chocolate drinks,0.01,0.01,0.00,0.05,9.07
01219.99  Other infusions (specify),0.78,0.78,0.05,0.01,9444.44
01221.01  Mineral water & ice cubes blocks,0.01,0.01,0.00,0.00,
01222.01  Soft drinks,2.79,2.79,0.04,1.15,33.76
"01222.99  Other non-alcoholic drinks (Energade, Powerade) (specify)",0.05,0.05,0.00,0.02,18.17
01223.01  Fruit juice & squashes,1.86,1.86,0.03,0.81,45.43
01223.02  Mageu/Oshikundu,295.71,295.71,1.05,144.01,7.17
01223.99  Other powdered drinks (specify),0.06,0.06,0.00,0.02,58.85
"02111.04  Local home-made distilled drinks, all types (ombike, kashipembe)",0.03,0.03,0.00,0.01,156.25
02111.06  Whiskies,0.00,0.00,0.05,6.58,6.90
02131.01  Beer/ Ales/ Ciders,0.87,0.87,0.01,0.32,64.52
"02131.99  Local home-made brew, all types (tombo, epwaka, shafuluka)",1.67,1.67,0.01,0.54,16.41
"01124.02  Birds, other than chicken",0.47,0.47,0.01,0.96,1.77
"01132.01  Cray fish, all types",0.02,0.02,0.00,0.01,80.19
01155.02  Omaze ongombe,0.01,0.01,0.00,0.10,2.39
01168.04  Omauni,2.86,2.09,0.01,0.94,13.86
01168.09  Omahuku,0.08,0.08,0.00,0.45,4.06
01178.03  Cassava,0.18,0.18,0.00,0.28,3.91
,,,,,
Khomas,,,,,
01111.01  Rice,29.03,29.03,2.97,101.32,2.97
01111.02  Malt/ Mealie Rice,0.08,0.08,0.32,0.32,1301.75
"01112.01  Bread (white, brown, whole wheat, rye, maize, etc.)",252.98,252.98,5.06,629.66,7.44
01112.02  Brotchen,0.95,0.95,0.12,2.52,46.95
"01112.03  Biscuits, rusks",1.30,1.30,0.04,3.45,14.99
01112.04  Vetkoek,3.61,3.61,0.04,9.54,2.52
"01112.09  Traditional bread, ash bread, oshikwiila, oshima, omungome",1.54,1.54,0.02,4.07,3.79
"01113.01  Macaroni, spaghetti, noodles",22.47,22.47,0.42,83.08,5.11
01114.01  Cakes (all types),2.63,2.63,0.20,8.82,22.78
01114.02  Pies & pizzas,0.67,0.67,0.04,3.38,11.95
01115.01  Breakfast cereals (all types),20.42,20.42,0.56,7.67,124.25
"01115.02  Baby foods, cereals",1.05,1.05,0.04,4.09,22.34
01115.03  Bread/ cake flour (all types),2.12,2.12,0.03,5.25,5.08
01115.04  Maize meal/ grain/ samp,65.93,65.93,0.76,227.12,3.36
01115.05  Mahangu meal/ grain/ samp,24.06,24.06,0.46,87.72,4.70
01115.06  Sorghum meal/ grain,0.42,0.42,0.03,1.45,21.68
01119.01  Other bread & cereals (specify),7.19,7.19,0.09,8.17,7.03
01121.01  Beef,85.69,85.69,2.77,201.88,26.61
01122.01  Pork,4.55,4.55,0.14,18.33,15.36
01123.01  Goat meat,6.59,4.88,0.22,8.61,22.96
01123.02  Mutton/ Lamb,6.17,4.62,0.43,15.26,33.52
01124.01  Chicken,33.87,33.87,1.21,45.62,25.92
01125.01  Bacon,0.69,0.69,0.07,2.79,39.72
01125.02  Ham,0.54,0.54,0.03,0.94,85.47
01125.03  Biltong,0.28,0.28,0.03,0.35,137.89
"01125.04  Smoked meat, other than bacon & ham",1.92,1.92,0.09,4.37,18.50
01125.05  Polony,1.57,1.57,0.09,3.91,20.83
"01125.06  Sausages, other than polony",5.82,5.82,0.34,13.21,27.49
"01125.07  Offals, meat waste",2.45,2.45,0.04,2.00,17.93
01125.08  Liver & kidneys,1.48,1.48,0.06,1.97,32.97
01126.01  Minced meat,4.06,4.06,0.23,6.93,34.76
01126.02  Canned meat,0.79,0.79,0.04,1.91,24.74
01127.01  Game/ Iguana,3.23,3.23,0.10,3.67,29.37
01127.03  Donkey,0.20,0.20,0.00,0.26,15.26
"01128.01  Worms (omaungu, omanghandja, omaenghowa, murere,",0.12,0.12,0.01,0.12,41.32
01129.99  Other meat (specify),4.95,4.95,0.16,16.34,9.50
01131.01  Fresh fish,9.36,5.15,0.49,5.19,104.06
01131.02  Frozen fish,12.22,8.68,1.29,11.23,159.53
01133.01  Smoked fish,0.09,0.09,0.24,0.11,2236.47
01133.02  Kapenta/ Eentangu (fresh),0.00,0.00,0.00,0.00,178.23
