3.5 Consumption statistics for each food item by region,,,,,
,Average quantity as purchased (g/capita/day),Average edible quantity (g/capita/day),Average food consumption in monetary value (LCU/capita/day),Average dietary energy consumption (kcal/capita/day),Median dietary energy unit value (LCU/1000 kcal)
region,,,,,
,,,,,
!Karas,,,,,
01169.99  Other fruits & nuts (specify),0.44,0.44,0.01,2.70,4.06
01171.01  Lettuce,0.03,0.02,0.00,0.00,217.32
01171.02  Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,7.18,5.17,0.31,1.44,228.51
01171.99  Chives/ Grass onion,0.00,0.00,0.00,0.00,65.47
01172.01  Broccoli,0.10,0.10,0.01,0.03,123.20
01172.02  Cabbage,2.19,1.75,0.03,0.48,45.79
01172.03  Cauliflower,0.10,0.10,0.00,0.03,139.92
01173.02  Beans (fresh),0.60,0.50,0.01,0.20,74.21
01173.03  Cucumber,0.31,0.25,0.01,0.04,298.34
01173.04  Green pepper/ Paprika,0.88,0.73,0.03,0.19,91.95
01173.05  Chilli,0.00,0.00,0.00,0.00,12709.36
01173.06  Mealie/ Corn cob,0.13,0.13,0.01,0.12,50.97
01173.07  Peas,0.37,0.37,0.01,0.27,36.81
"01173.08  Pumpkins baby marrows & squashes, all types",2.45,0.73,0.04,0.21,150.19
01173.09  Tomatoes,4.62,4.20,0.08,0.92,69.53
01174.02  Beetroot,2.89,2.46,0.05,1.08,41.76
01174.03  Carrots,4.00,3.56,0.05,1.27,52.43
01174.06  Onion,7.04,6.41,0.09,2.34,36.13
01174.09  Mushroom,0.12,0.12,0.01,0.04,224.35
01175.01  Beans (dried),0.36,0.36,0.01,1.22,9.05
01175.03  Lentils,0.03,0.02,0.00,0.01,105.82
"01175.09  Dried vegetables, other",0.03,0.03,0.00,0.08,12.65
"01176.01  Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",2.06,2.06,0.05,0.20,294.85
"01177.01  Potatoes, English",22.00,18.48,0.27,14.73,17.96
01178.01  Sweet potatoes,2.05,1.72,0.03,1.97,12.56
01178.02  Chips & crisps,4.22,4.22,0.46,13.75,16.09
01178.05  Frozen vegetables,0.46,0.46,0.02,0.26,63.66
01179.08  Mixed vegetables,3.69,3.69,0.12,1.12,117.73
01179.99  Other vegetables & tubers (specify),0.04,0.04,0.00,0.10,4.79
01181.01  Sugar,12.60,12.60,0.49,50.38,13.98
01181.02  Sugar cane,0.08,0.08,0.00,0.03,47.30
01181.03  Icing sugar,0.00,0.00,0.00,0.00,10.42
01182.01  Honey,0.00,0.00,0.00,0.01,25.21
01182.02  Jam,0.15,0.15,0.00,0.42,12.70
01183.01  Chocolate,0.21,0.21,0.01,1.18,22.56
01184.01  Sweets,0.17,0.17,0.01,0.69,4.25
01185.01  Ice cream,0.29,0.29,0.01,0.44,27.46
01186.01  Syrup,0.00,0.00,0.00,0.00,76.13
01186.99  Other sweeteners (specify),0.01,0.01,0.00,0.04,2.93
01191.01  Mayonnaise,0.53,0.53,0.01,3.68,4.00
01191.02  Tomato Sauces,0.49,0.49,0.01,0.62,18.42
01191.03  Vinegar,0.03,0.03,0.00,0.00,303.03
01191.05  Chutney,0.00,0.00,0.00,0.01,5.89
01191.06  Garlic sauce,0.04,0.03,0.00,0.05,23.28
01191.08  Salad dressings,1.50,1.50,0.05,5.67,8.24
01191.09  Soy sauce,0.00,0.00,0.00,0.00,11.80
01191.10  Worcestershire sauce,0.01,0.01,0.00,0.01,102.13
01192.01  Salt,1.05,1.05,0.11,0.00,
01192.02  Spices & condiments,0.33,0.33,0.09,1.14,102.77
