hhid,Total,start_date,urbrur,region,sex_of_head,age_of_head_cat,attain,apci_dec,main_language,wgt_hh,q02_58_01,q02_58_02,q02_58_04,q02_58_13,q02_58_15,q02_59_01,q02_59_02,q02_59_04,q02_59_13,q02_59_15,q02_60_01,q02_60_02,q02_60_04,q02_60_13,q02_60_15,q07_02_1,q07_02_2,q07_02_3,q07_02_4,q07_02_6,crops_possessed_1,crops_possessed_2,crops_possessed_3,crops_possessed_4,crops_possessed_6,q07_04_1,q07_04_2,q07_04_3,q07_04_4,q07_04_6,crops_given_away_1,crops_given_away_2,crops_given_away_3,crops_given_away_4,crops_given_away_6,crops_sold_1,crops_sold_2,crops_sold_3,crops_sold_4,crops_sold_6,q07_08_3
0607009A01801                          ,Total,2015-06-26,Urban,Khomas,Male,18-59,No formal education,8,Oshiwambo,67.3333938530984,0,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0805006A00502                          ,Total,2015-06-27,Rural,Ohangwena,Female,60+,Primary,5,Oshiwambo,25.390429822459893,1,1,0,1,0,1.0,7.0,,2.0,,own_production_garden__livestock,bought_using_cash,,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0805006A01101                          ,Total,2015-06-27,Rural,Ohangwena,Male,60+,Primary,9,Oshiwambo,30.4982684362083,1,1,1,1,0,7.0,7.0,7.0,7.0,,bought_using_cash,own_production_garden__livestock,bought_using_cash,bought_using_cash,,0,1,0,0,0.0,,2000.0,,,,,1400.0,,,,,0.0,,,,,0.0,,,,0
0805006B02401                          ,Total,2015-06-27,Rural,Ohangwena,Female,18-59,Secondary,9,Oshiwambo,30.126964965233196,0,1,0,1,0,,7.0,,7.0,,,bought_using_cash,,bought_using_cash,,0,1,0,0,0.0,,280.0,,,,,220.0,,,,,20.0,,,,,0.0,,,,0
1003054B01601                          ,Total,2015-06-27,Rural,Omusati,Male,18-59,Primary,10,Oshiwambo,98.4654617993548,1,1,1,1,1,5.0,7.0,7.0,7.0,7.0,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
1003054B02401                          ,Total,2015-06-27,Rural,Omusati,Male,18-59,Primary,9,Oshiwambo,63.6717691000541,0,1,0,1,0,,7.0,,7.0,,,bought_using_cash,,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0805006A02001                          ,Total,2015-06-27,Rural,Ohangwena,Female,60+,Secondary,1,Oshiwambo,77.96206806202841,1,1,1,1,0,1.0,7.0,3.0,7.0,,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,,0,1,0,0,0.0,,40.0,,,,,40.0,,,,,0.0,,,,,0.0,,,,0
0805006A02701                          ,Total,2015-06-27,Rural,Ohangwena,Female,18-59,Primary,7,Oshiwambo,79.67891291095891,1,1,1,1,0,7.0,7.0,1.0,7.0,,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,,0,1,0,0,0.0,,160.0,,,,,100.0,,,,,0.0,,,,,0.0,,,,0
0805006A03501                          ,Total,2015-06-27,Rural,Ohangwena,Female,60+,Secondary,6,Oshiwambo,54.291756565401705,1,1,1,1,0,7.0,7.0,3.0,7.0,,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,,0,1,0,0,0.0,,240.0,,,,,240.0,,,,,0.0,,,,,0.0,,,,1
0805006A04301                          ,Total,2015-06-27,Rural,Ohangwena,Male,18-59,Secondary,3,Oshiwambo,71.1526319043825,0,1,0,1,0,,7.0,,3.0,,,bought_using_cash,,own_production_garden__livestock,,0,1,1,0,0.0,,454.0,20.0,,,,454.0,20.0,,,,0.0,0.0,,,,0.0,0.0,,,1
1003054B00701                          ,Total,2015-06-27,Rural,Omusati,Male,0-18,,9,Oshiwambo,65.3558745915497,1,1,0,0,0,5.0,7.0,,,,bought_using_cash,bought_using_cash,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0805006B00401                          ,Total,2015-06-27,Rural,Ohangwena,Male,18-59,Primary,8,Oshiwambo,49.704939328785,1,1,0,1,1,7.0,7.0,,7.0,3.0,bought_using_cash,bought_using_cash,,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0805006B01701                          ,Total,2015-06-27,Rural,Ohangwena,Male,60+,No formal education,4,Oshiwambo,49.34658188849879,1,1,1,1,0,2.0,7.0,5.0,7.0,,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,,0,1,1,0,0.0,,200.0,80.0,,,,140.0,80.0,,,,0.0,0.0,,,,0.0,0.0,,,0
0805006B03201                          ,Total,2015-06-27,Rural,Ohangwena,Male,60+,No formal education,8,Oshiwambo,26.521738674385094,1,1,0,1,0,4.0,7.0,,7.0,,bought_using_cash,bought_using_cash,,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0805006B03901                          ,Total,2015-06-27,Rural,Ohangwena,Male,60+,No formal education,5,Oshiwambo,43.855679747404395,1,1,1,1,0,3.0,7.0,4.0,7.0,,bought_using_cash,own_production_garden__livestock,bought_using_cash,own_production_garden__livestock,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
1003054B05701                          ,Total,2015-06-27,Rural,Omusati,Female,60+,Primary,5,Oshiwambo,60.0012496720628,0,1,0,0,0,,7.0,,,,,bought_using_cash,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
1003054B04701                          ,Total,2015-06-27,Rural,Omusati,Female,18-59,Secondary,10,Oshiwambo,60.1026496992805,1,1,1,1,0,4.0,7.0,2.0,7.0,,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
1003054B04001                          ,Total,2015-06-27,Rural,Omusati,Male,18-59,Primary,8,Oshiwambo,65.1119397888951,0,1,0,1,1,,7.0,,7.0,7.0,,bought_using_cash,,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0805006B01001                          ,Total,2015-06-27,Rural,Ohangwena,Female,60+,Primary,3,Oshiwambo,39.133368573939705,0,1,1,1,0,,7.0,6.0,7.0,,,received_as_in-kind_payment,bought_using_cash,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
1003054A03601                          ,Total,2015-06-27,Rural,Omusati,Male,60+,Secondary,2,Oshiwambo,31.251802999369893,0,1,0,1,0,,7.0,,7.0,,,bought_using_cash,,asking_for_help_from_others,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
1003054B03101                          ,Total,2015-06-27,Rural,Omusati,Female,18-59,Secondary,5,Oshiwambo,72.077833822876,0,1,0,1,0,,7.0,,7.0,,,bought_using_cash,,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
1003054A02001                          ,Total,2015-06-27,Rural,Omusati,Female,60+,No formal education,8,Oshiwambo,36.3052428384386,0,1,1,1,0,,7.0,5.0,1.0,,,own_production_garden__livestock,bought_using_cash,bought_using_cash,,0,1,1,0,0.0,,600.0,100.0,,,,500.0,100.0,,,,0.0,0.0,,,,0.0,0.0,,,0
1003054A01301                          ,Total,2015-06-27,Rural,Omusati,Female,60+,No formal education,5,Oshiwambo,29.849933390765802,1,1,0,1,0,1.0,7.0,,7.0,,bought_using_cash,bought_using_cash,,bought_using_cash,,0,1,1,0,0.0,,650.0,50.0,,,,400.0,50.0,,,,50.0,0.0,,,,0.0,0.0,,,0
1003054A00601                          ,Total,2015-06-27,Rural,Omusati,Female,18-59,Tertiary,4,Oshiwambo,42.0156832747655,1,0,0,1,0,7.0,,,7.0,,bought_using_cash,,,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
1003054A02701                          ,Total,2015-06-27,Rural,Omusati,Female,18-59,Secondary,9,Oshiwambo,45.832954690046996,1,1,1,1,0,7.0,7.0,4.0,7.0,,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0504001A03001                          ,Total,2015-06-28,Rural,Kavango West,Female,18-59,Secondary,4,Rukavango,62.6795408823905,0,1,0,1,0,,7.0,,7.0,,,own_production_garden__livestock,,bought_using_cash,,1,1,0,0,0.0,250.0,150.0,,,,250.0,150.0,,,,0.0,0.0,,,,0.0,0.0,,,,0
0903045B00301                          ,Total,2015-06-28,Urban,Omaheke,Male,18-59,Tertiary,10,Other,11.8796891911554,1,1,1,1,1,7.0,3.0,2.0,7.0,6.0,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0903045B00101                          ,Total,2015-06-28,Urban,Omaheke,Male,18-59,Secondary,8,Nama/Damara,9.31528277418073,1,1,0,1,1,3.0,2.0,,4.0,3.0,bought_using_cash,bought_using_cash,,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0903045A00801                          ,Total,2015-06-28,Urban,Omaheke,Male,18-59,Secondary,10,Zambezi languages,6.125280937107401,0,1,1,1,1,,1.0,2.0,6.0,3.0,,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0903045A00601                          ,Total,2015-06-28,Urban,Omaheke,Female,18-59,Secondary,10,Nama/Damara,13.6929948910341,1,1,1,1,1,7.0,7.0,7.0,7.0,7.0,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0903045A00503                          ,Total,2015-06-28,Urban,Omaheke,Male,18-59,Secondary,8,Otjiherero,7.50208591585482,1,1,0,1,1,2.0,7.0,,7.0,2.0,bought_using_cash,bought_using_cash,,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0903045A00502                          ,Total,2015-06-28,Urban,Omaheke,Female,18-59,Secondary,7,Otjiherero,7.429731778747421,0,0,1,1,1,,,3.0,7.0,7.0,,,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0903045A00501                          ,Total,2015-06-28,Urban,Omaheke,Female,18-59,Secondary,6,Otjiherero,7.44560717309563,1,1,0,1,1,4.0,7.0,,7.0,3.0,bought_using_cash,bought_using_cash,,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0902020B03401                          ,Total,2015-06-28,Rural,Omaheke,Male,18-59,Secondary,9,Otjiherero,35.7926536757943,1,1,0,1,0,7.0,7.0,,7.0,,bought_using_cash,bought_using_cash,,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0902020B04401                          ,Total,2015-06-28,Rural,Omaheke,Female,18-59,Primary,8,Otjiherero,13.411115879448,1,1,1,1,1,5.0,4.0,1.0,7.0,7.0,own_production_garden__livestock,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0903045A00401                          ,Total,2015-06-28,Urban,Omaheke,Male,18-59,Secondary,8,Oshiwambo,5.07322747884009,1,1,0,1,1,2.0,7.0,,7.0,7.0,bought_using_cash,bought_using_cash,,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0504001B05101                          ,Total,2015-06-28,Rural,Kavango West,Male,18-59,Tertiary,9,Rukavango,36.792701835437896,1,1,0,1,0,7.0,7.0,,7.0,,bought_using_cash,bought_using_cash,,bought_using_cash,,1,1,0,0,0.0,100.0,600.0,,,,50.0,450.0,,,,50.0,50.0,,,,0.0,100.0,,,,0
0504001B06401                          ,Total,2015-06-28,Rural,Kavango West,Male,18-59,No formal education,3,Rukavango,3.76501311,0,1,0,1,0,,7.0,,7.0,,,bought_using_cash,,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0504001B03701                          ,Total,2015-06-28,Rural,Kavango West,Female,18-59,Secondary,2,Rukavango,48.2852994289725,0,1,0,1,0,,7.0,,4.0,,,bought_on_credit,,bought_on_credit,,1,1,0,0,0.0,150.0,300.0,,,,140.0,250.0,,,,10.0,50.0,,,,0.0,0.0,,,,0
0504001B02501                          ,Total,2015-06-28,Rural,Kavango West,Male,18-59,No formal education,4,Rukavango,43.713188957079495,0,1,0,1,1,,7.0,,7.0,3.0,,bought_using_cash,,bought_using_cash,bought_using_cash,1,1,0,0,0.0,400.0,300.0,,,,300.0,200.0,,,,10.0,100.0,,,,10.0,0.0,,,,0
0504001B01001                          ,Total,2015-06-28,Rural,Kavango West,Female,60+,No formal education,1,Rukavango,12.4902357694538,0,1,0,0,0,,7.0,,,,,bought_through_battering,,,,1,1,0,0,0.0,25.0,20.0,,,,20.0,20.0,,,,5.0,0.0,,,,0.0,0.0,,,,0
0504001A06703                          ,Total,2015-06-28,Rural,Kavango West,Male,18-59,Tertiary,9,Rukavango,37.1034484886677,1,1,1,1,0,7.0,2.0,7.0,7.0,,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0504001A05501                          ,Total,2015-06-28,Rural,Kavango West,Female,60+,No formal education,3,Rukavango,34.3490329337371,0,1,0,0,0,,6.0,,,,,bought_through_battering,,,,1,1,0,0,0.0,100.0,150.0,,,,100.0,125.0,,,,0.0,0.0,,,,0.0,25.0,,,,0
0504001A04501                          ,Total,2015-06-28,Rural,Kavango West,Female,60+,Primary,6,Rukavango,46.1575140633466,1,1,0,1,1,2.0,5.0,,5.0,5.0,bought_using_cash,own_production_garden__livestock,,bought_using_cash,bought_using_cash,1,1,0,0,0.0,125.0,650.0,,,,100.0,500.0,,,,25.0,150.0,,,,0.0,0.0,,,,0
0504001A00801                          ,Total,2015-06-28,Rural,Kavango West,Male,18-59,Secondary,4,Rukavango,35.91146010157,1,1,1,1,0,6.0,7.0,1.0,7.0,,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,,1,1,1,0,0.0,150.0,2000.0,100.0,,,150.0,1950.0,100.0,,,0.0,0.0,0.0,,,0.0,50.0,0.0,,,0
0504001A02001                          ,Total,2015-06-28,Rural,Kavango West,Female,60+,No formal education,5,Rukavango,20.629679132362398,0,1,0,0,0,,7.0,,,,,bought_using_cash,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0308012B03218                          ,Total,2015-06-28,Urban,Hardap,Female,60+,No formal education,6,Afrikaans,18.1760509114475,1,1,0,0,0,5.0,7.0,,,,bought_using_cash,bought_using_cash,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0504001B07701                          ,Total,2015-06-28,Rural,Kavango West,Male,18-59,Secondary,4,Rukavango,58.273508103762,1,1,1,1,0,4.0,7.0,2.0,7.0,,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,,1,1,1,0,0.0,100.0,300.0,50.0,,,100.0,300.0,50.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0
0308012B03209                          ,Total,2015-06-28,Urban,Hardap,Female,60+,Secondary,7,Afrikaans,18.1760509114475,1,1,0,0,0,3.0,7.0,,,,bought_using_cash,bought_using_cash,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0607053B05501                          ,Total,2015-06-28,Urban,Khomas,Male,18-59,Secondary,5,Rukavango,164.898092886143,1,1,1,1,1,3.0,7.0,1.0,7.0,7.0,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0308012B02201                          ,Total,2015-06-28,Urban,Hardap,Female,18-59,Secondary,8,Afrikaans,26.141528490797,1,1,0,1,1,1.0,7.0,,7.0,7.0,bought_using_cash,bought_using_cash,,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0406100B10601                          ,Total,2015-06-28,Urban,Kavango East,Male,18-59,Secondary,5,Rukavango,166.10550533835698,1,1,0,0,0,3.0,7.0,,,,bought_using_cash,bought_using_cash,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0406100B08701                          ,Total,2015-06-28,Urban,Kavango East,Female,18-59,Primary,5,Rukavango,115.09582441579398,1,1,1,1,1,7.0,7.0,2.0,7.0,7.0,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0406100B06801                          ,Total,2015-06-28,Urban,Kavango East,Female,18-59,Secondary,6,Rukavango,78.3728545758249,0,1,0,1,0,,4.0,,2.0,,,bought_using_cash,,asking_for_help_from_others,,0,1,0,0,0.0,,10.0,,,,,10.0,,,,,0.0,,,,,0.0,,,,0
1104008B02101                          ,Total,2015-06-28,Rural,Oshana,Female,18-59,Primary,5,Oshiwambo,29.5815758400248,1,1,0,1,0,4.0,7.0,,7.0,,bought_using_cash,own_production_garden__livestock,,bought_using_cash,,0,1,0,0,0.0,,75.0,,,,,45.0,,,,,0.0,,,,,0.0,,,,0
0406100B02801                          ,Total,2015-06-28,Urban,Kavango East,Male,18-59,Primary,7,Oshiwambo,151.967191032077,0,0,1,1,1,,,2.0,7.0,1.0,,,bought_using_cash,bought_using_cash,bought_using_cash,1,1,0,0,0.0,100.0,25.0,,,,46.0,25.0,,,,4.0,0.0,,,,0.0,0.0,,,,0
0406100B00501                          ,Total,2015-06-28,Urban,Kavango East,Female,18-59,Primary,1,Rukavango,89.3843440748183,0,1,0,0,0,,7.0,,,,,gifts_friends__neighbours__relatives,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0406100A10601                          ,Total,2015-06-28,Urban,Kavango East,Female,18-59,Primary,5,Rukavango,167.180448963543,1,1,1,1,0,7.0,6.0,3.0,6.0,,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0406100A08601                          ,Total,2015-06-28,Urban,Kavango East,Male,18-59,Secondary,3,Rukavango,52.6959052044858,0,1,0,1,0,,7.0,,7.0,,,bought_using_cash,,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0406100A06801                          ,Total,2015-06-28,Urban,Kavango East,Male,18-59,Secondary,2,Rukavango,11.53916377,1,1,0,1,0,3.0,3.0,,5.0,,bought_using_cash,bought_using_cash,,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0406100A04501                          ,Total,2015-06-28,Urban,Kavango East,Female,18-59,Secondary,6,Rukavango,184.512718475348,1,1,0,1,0,7.0,5.0,,5.0,,bought_using_cash,bought_using_cash,,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0406100A02201                          ,Total,2015-06-28,Urban,Kavango East,Male,18-59,Secondary,6,Rukavango,146.000104714715,1,1,1,1,1,3.0,7.0,3.0,7.0,7.0,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0607053A02304                          ,Total,2015-06-28,Urban,Khomas,Male,18-59,Secondary,4,Zambezi languages,146.05927163773995,0,1,1,1,1,,2.0,1.0,7.0,7.0,,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0607053A04403                          ,Total,2015-06-28,Urban,Khomas,Male,18-59,Primary,8,Otjiherero,150.504376810265,0,1,0,1,1,,2.0,,2.0,2.0,,bought_using_cash,,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0607053A05203                          ,Total,2015-06-28,Urban,Khomas,Male,18-59,Primary,5,Oshiwambo,124.570571470105,0,1,0,1,1,,7.0,,7.0,7.0,,bought_using_cash,,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0607053B01001                          ,Total,2015-06-28,Urban,Khomas,Male,18-59,Secondary,9,Oshiwambo,112.697252235464,1,1,1,1,0,2.0,2.0,1.0,2.0,,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0607053B02001                          ,Total,2015-06-28,Urban,Khomas,Male,18-59,Secondary,10,Oshiwambo,114.63032303416401,1,1,0,1,1,2.0,5.0,,6.0,2.0,bought_using_cash,bought_using_cash,,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0607053B03101                          ,Total,2015-06-28,Urban,Khomas,Female,18-59,Secondary,4,Oshiwambo,106.806451657934,0,1,0,0,1,,5.0,,,1.0,,bought_using_cash,,,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0607053B04501                          ,Total,2015-06-28,Urban,Khomas,Male,18-59,Secondary,9,Rukavango,178.91704377548,1,1,0,1,1,7.0,7.0,,7.0,7.0,bought_using_cash,bought_using_cash,,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0902020B02601                          ,Total,2015-06-28,Rural,Omaheke,Male,18-59,Secondary,7,Otjiherero,22.8244219464283,1,1,0,1,1,3.0,2.0,,6.0,3.0,bought_using_cash,gifts_friends__neighbours__relatives,,own_production_garden__livestock,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0607053B06201                          ,Total,2015-06-28,Urban,Khomas,Female,18-59,No formal education,8,Oshiwambo,116.603316853125,0,1,0,0,0,,7.0,,,,,bought_using_cash,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0308012A02101                          ,Total,2015-06-28,Urban,Hardap,Male,60+,No formal education,9,Afrikaans,36.5481386837695,1,1,0,0,1,7.0,5.0,,,4.0,bought_using_cash,bought_using_cash,,,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0308012A02901                          ,Total,2015-06-28,Urban,Hardap,Female,18-59,Tertiary,9,Afrikaans,29.084452774252306,1,1,0,0,0,7.0,7.0,,,,bought_using_cash,bought_using_cash,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0308012B00501                          ,Total,2015-06-28,Urban,Hardap,Female,60+,Primary,5,Afrikaans,40.1773576184971,1,1,1,1,0,7.0,5.0,5.0,7.0,,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0308012B01001                          ,Total,2015-06-28,Urban,Hardap,Female,18-59,No formal education,7,Nama/Damara,16.3587958488462,1,1,1,1,1,7.0,2.0,1.0,7.0,4.0,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0308012B01601                          ,Total,2015-06-28,Urban,Hardap,Male,18-59,Secondary,7,Afrikaans,60.135069632628095,1,1,1,1,1,7.0,1.0,3.0,7.0,7.0,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0308012B03202                          ,Total,2015-06-28,Urban,Hardap,Female,60+,Primary,6,Afrikaans,12.198475942716598,1,0,1,1,1,5.0,,1.0,7.0,1.0,bought_using_cash,,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0902020B01701                          ,Total,2015-06-28,Rural,Omaheke,Male,18-59,No formal education,7,Otjiherero,3.25160940979443,1,1,1,1,1,4.0,2.0,1.0,7.0,2.0,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0902020A02201                          ,Total,2015-06-28,Rural,Omaheke,Male,18-59,Secondary,4,Otjiherero,27.441194770950197,1,1,0,1,1,3.0,7.0,,7.0,2.0,bought_using_cash,bought_using_cash,,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0902020B00801                          ,Total,2015-06-28,Rural,Omaheke,Male,18-59,Secondary,6,Otjiherero,25.2281347341471,1,1,0,1,1,7.0,7.0,,7.0,3.0,bought_using_cash,bought_using_cash,,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0506012A01801                          ,Total,2015-06-28,Rural,Kavango West,Female,18-59,No formal education,2,Rukavango,12.471274377704301,0,1,0,0,0,,7.0,,,,,own_production_garden__livestock,,,,0,1,0,0,0.0,,100.0,,,,,100.0,,,,,0.0,,,,,0.0,,,,0
0506012A01101                          ,Total,2015-06-28,Rural,Kavango West,Female,18-59,No formal education,5,Rukavango,19.434646244092,1,1,0,1,0,3.0,7.0,,3.0,,bought_using_cash,own_production_garden__livestock,,bought_using_cash,,0,1,0,0,0.0,,100.0,,,,,50.0,,,,,0.0,,,,,0.0,,,,0
0506012A00501                          ,Total,2015-06-28,Rural,Kavango West,Female,60+,No formal education,1,Rukavango,62.4997891228164,0,0,0,0,0,,,,,,,,,,,0,1,0,0,0.0,,25.0,,,,,25.0,,,,,0.0,,,,,0.0,,,,0
0807022A01901                          ,Total,2015-06-28,Rural,Ohangwena,Male,18-59,Secondary,7,Oshiwambo,145.17378426252301,0,1,0,0,0,,6.0,,,,,own_production_garden__livestock,,,,0,1,1,0,0.0,,100.0,40.0,,,,20.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,0
0807022A01301                          ,Total,2015-06-28,Rural,Ohangwena,Female,18-59,Primary,5,Oshiwambo,42.7132714246058,0,1,1,0,0,,7.0,7.0,,,,own_production_garden__livestock,bought_using_cash,,,0,1,0,0,0.0,,320.0,,,,,80.0,,,,,0.0,,,,,0.0,,,,0
0807022A00601                          ,Total,2015-06-28,Rural,Ohangwena,Female,60+,Primary,6,Oshiwambo,118.772669337621,0,1,0,0,0,,7.0,,,,,own_production_garden__livestock,,,,0,1,0,0,0.0,,100.0,,,,,40.0,,,,,0.0,,,,,0.0,,,,0
0102019B04601                          ,Total,2015-06-28,Urban,!Karas,Male,60+,No formal education,4,Nama/Damara,11.4181558614395,1,1,0,1,1,3.0,7.0,,7.0,1.0,bought_using_cash,food_assistance_government__charity,,bought_using_cash,asking_for_help_from_others,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0102019B03901                          ,Total,2015-06-28,Urban,!Karas,Male,18-59,Secondary,8,Nama/Damara,36.4874815012857,1,1,0,1,1,5.0,7.0,,7.0,2.0,bought_using_cash,bought_using_cash,,asking_for_help_from_others,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0102019B03102                          ,Total,2015-06-28,Urban,!Karas,Female,18-59,Secondary,1,Nama/Damara,90.0543151536281,0,1,0,1,0,,7.0,,3.0,,,asking_for_help_from_others,,asking_for_help_from_others,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0102019B02401                          ,Total,2015-06-28,Urban,!Karas,Male,60+,No formal education,4,Afrikaans,12.094228875227303,1,1,1,1,1,5.0,4.0,2.0,7.0,5.0,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0102019B01601                          ,Total,2015-06-28,Urban,!Karas,Female,60+,Primary,3,Nama/Damara,29.2429725400791,0,1,0,1,0,,7.0,,7.0,,,bought_using_cash,,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0102019B00801                          ,Total,2015-06-28,Urban,!Karas,Female,18-59,Secondary,4,Nama/Damara,43.7963910241669,1,1,0,0,0,1.0,7.0,,,,bought_using_cash,other_specify,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
