3.1 Consumption statistics for each food item at national level,,,,,
,Average quantity as purchased (g/capita/day),Average edible quantity (g/capita/day),Average food consumption in monetary value (LCU/capita/day),Average dietary energy consumption (kcal/capita/day),Median dietary energy unit value (LCU/1000 kcal)
COICOP Code,,,,,
"01167.01  Sweet melons, all types",0.69,0.68,0.01,0.19,91.88
01167.02  Watermelons,6.95,6.91,0.16,1.97,74.67
01167.03  Pineapples,0.06,0.06,0.00,0.03,23.54
01167.99  Passion fruit,0.01,0.01,0.00,0.00,13.42
01168.01  Eendunga/ Munganda,0.52,0.52,0.03,3.14,12.36
01168.02  Oombe,0.14,0.14,0.01,0.06,105.78
01168.03  Grapes/ Omandjebere (dry),0.06,0.06,0.00,0.03,96.25
01168.04  Omauni,0.36,0.36,0.00,0.16,10.15
01168.08  Ground nuts/ Eefukwa,1.11,1.11,0.02,4.19,5.32
01168.09  Omahuku,0.29,0.29,0.01,1.66,6.59
01168.10  Peanuts & other snack nuts,0.09,0.09,0.01,0.55,12.27
01168.11  Ekwa/ Mubuyu,0.06,0.06,0.00,0.18,1.66
01168.14  Eenyandi,0.54,0.54,0.00,0.60,4.49
01168.16  Cocoanuts,0.00,0.00,0.00,0.01,47.76
01168.17  Mixed nuts,0.02,0.02,0.00,0.13,10.83
01168.22  Dried dates,0.08,0.08,0.00,0.28,11.58
"01168.99  Dried fruits, other",0.01,0.01,0.00,0.02,53.33
01169.01  Tinned fruits,0.03,0.03,0.00,0.02,44.04
01169.08  Mixed fruits (fresh),0.42,0.42,0.01,0.31,33.15
01169.99  Other fruits & nuts (specify),3.78,3.78,0.05,4.09,9.19
01171.01  Lettuce,0.20,0.20,0.01,0.03,190.08
01171.02  Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,13.00,12.96,0.54,3.60,157.69
01171.99  Chives/ Grass onion,0.20,0.20,0.00,0.07,36.16
01172.01  Broccoli,0.04,0.04,0.00,0.01,263.34
01172.02  Cabbage,4.58,4.57,0.06,1.25,36.70
01172.03  Cauliflower,0.03,0.03,0.00,0.01,191.72
