index,crops_sold_1,crops_sold_2,crops_sold_3,crops_sold_4,crops_sold_6
Rural,97.26038151953463,8.354998205882385,1.2833113091160855,0.0,10.362025326225986
Urban,18.112112151875117,38.05299890345771,0.34752330301065837,0.0,0.0
!Karas,0.0,0.0,0.0,0.0,0.0
Erongo,0.0,0.0,0.0,0.0,0.0
Hardap,10.669465456518497,0.0,0.0,0.0,0.0
Kavango East,3.4054721239540475,16.524752941413645,0.0,0.0,0.0
Kavango West,1.986353462208453,3.115277844229967,3.934417669583587,0.0,0.0
Khomas,30.96087709452172,257.27937467246903,0.0,0.0,0.0
Kunene,9.536091046964472,0.0,0.0,0.0,21.3535274934469
Ohangwena,0.0,1.5721078368134416,0.5743451157572066,0.0,0.0
Omaheke,103.32941031664808,0.0,0.0,0.0,0.0
Omusati,485.8282966552518,15.4707390947933,0.0,0.0,0.0
Oshana,0.10215230715151288,7.2543298889981065,4.076805600734147,0.0,0.0
Oshikoto,11.770711844750698,6.7986036386713335,3.4801948773147107,0.0,0.0
Otjozondjupa,36.64613890892947,0.0,7.014555765411941,0.0,0.0
Zambezi,85.35943278358053,21.910587451208777,0.04619985530569029,0.0,0.0
Female,94.58202945826602,6.678914528281303,1.3532813435425992,0.0,0.0
Male,78.42973803275801,14.920333142775757,1.0552974460368394,0.0,13.99140473781737
0-18,0.0,0.0,0.0,0.0,0.0
18-59,119.53395432649658,13.966906203237116,1.657860845406399,0.0,10.66527965019554
60+,19.444302298701086,5.085309423553948,0.6481428583603447,0.0,0.0
No formal education,13.997135508417111,6.186747886890836,1.6197072262307204,0.0,0.0
Not stated,0.0,0.0,0.0,0.0,0.0
Primary,19.197262681341854,0.9324085142682097,0.3568608091280605,0.0,43.78564120554295
Secondary,220.72897166567296,11.281927215558582,2.2964613499236255,0.0,0.0
Tertiary,0.0,125.2213754407118,0.0,0.0,0.0
1,5.698251754155069,0.7570926444834016,0.0,0.0,0.0
2,15.317554741404892,1.178609185555568,0.0,0.0,0.0
3,9.844140917754373,17.61936183923073,0.5586744668978509,0.0,0.0
4,13.455721683048619,4.158178553535669,0.7165681618582104,0.0,0.0
5,280.9135282238767,1.5518067254157009,1.0421324997095522,0.0,0.0
6,35.31731113856957,2.20054016879365,0.004687340594324144,0.0,0.0
7,397.64751886580086,46.35752995135794,0.7336178690670307,0.0,0.0
8,3.464315225799058,5.382503130012512,2.620462370671905,0.0,100.0
9,15.277236578942539,4.854278480901034,7.1448622238588175,0.0,0.0
10,9.785857778227054,19.695758296642257,0.0,0.0,0.0
Afrikaans,2.966973709859056,0.0,0.0,0.0,0.0
English,0.0,0.0,0.0,0.0,0.0
German,0.0,0.0,0.0,0.0,0.0
Khoisan,0.28600082976752567,0.1832326899356982,0.0,0.0,0.0
Nama/Damara,12.84603469467055,0.0,0.0,0.0,100.0
Oshiwambo,139.71576092092155,10.366503785352384,1.1625919741690434,0.0,0.0
Other,0.0,0.0,0.0,0.0,0.0
Other African,0.0,0.0,0.0,0.0,0.0
Other European,0.0,0.0,0.0,0.0,0.0
Otjiherero,65.96443890687463,0.0,0.0,0.0,0.0
Rukavango,14.193861593560193,9.244600701194974,2.9463306616587372,0.0,0.0
Setswana,0.0,0.0,0.0,0.0,0.0
Zambezi languages,72.70930953240777,25.81988339854065,0.05528913732836307,0.0,0.0
