index,main_source_wheat_asking_for_help_from_others,main_source_wheat_bought_on_credit,main_source_wheat_bought_through_battering,main_source_wheat_bought_using_cash,main_source_wheat_fishing__hunting__gathering,main_source_wheat_food_assistance_government__charity,main_source_wheat_from_employer,main_source_wheat_gifts_friends__neighbours__relatives,main_source_wheat_other_specify,main_source_wheat_own_production_garden__livestock,main_source_wheat_received_as_in-kind_payment,main_source_other_asking_for_help_from_others,main_source_other_bought_on_credit,main_source_other_bought_through_battering,main_source_other_bought_using_cash,main_source_other_fishing__hunting__gathering,main_source_other_food_assistance_government__charity,main_source_other_from_employer,main_source_other_gifts_friends__neighbours__relatives,main_source_other_other_specify,main_source_other_own_production_garden__livestock,main_source_other_received_as_in-kind_payment,main_source_rice_asking_for_help_from_others,main_source_rice_bought_on_credit,main_source_rice_bought_through_battering,main_source_rice_bought_using_cash,main_source_rice_fishing__hunting__gathering,main_source_rice_food_assistance_government__charity,main_source_rice_from_employer,main_source_rice_gifts_friends__neighbours__relatives,main_source_rice_other_specify,main_source_rice_own_production_garden__livestock,main_source_rice_received_as_in-kind_payment,main_source_oil_asking_for_help_from_others,main_source_oil_bought_on_credit,main_source_oil_bought_through_battering,main_source_oil_bought_using_cash,main_source_oil_fishing__hunting__gathering,main_source_oil_food_assistance_government__charity,main_source_oil_from_employer,main_source_oil_gifts_friends__neighbours__relatives,main_source_oil_other_specify,main_source_oil_own_production_garden__livestock,main_source_oil_received_as_in-kind_payment,main_source_spices_asking_for_help_from_others,main_source_spices_bought_on_credit,main_source_spices_bought_using_cash,main_source_spices_fishing__hunting__gathering,main_source_spices_food_assistance_government__charity,main_source_spices_from_employer,main_source_spices_gifts_friends__neighbours__relatives,main_source_spices_other_specify,main_source_spices_own_production_garden__livestock,main_source_spices_received_as_in-kind_payment,,main_source_wheat_asking_for_help_from_others,main_source_wheat_bought_on_credit,main_source_wheat_bought_through_battering,main_source_wheat_bought_using_cash,main_source_wheat_fishing__hunting__gathering,main_source_wheat_food_assistance_government__charity,main_source_wheat_from_employer,main_source_wheat_gifts_friends__neighbours__relatives,main_source_wheat_other_specify,main_source_wheat_own_production_garden__livestock,main_source_wheat_received_as_in-kind_payment,main_source_other_asking_for_help_from_others,main_source_other_bought_on_credit,main_source_other_bought_through_battering,main_source_other_bought_using_cash,main_source_other_fishing__hunting__gathering,main_source_other_food_assistance_government__charity,main_source_other_from_employer,main_source_other_gifts_friends__neighbours__relatives,main_source_other_other_specify,main_source_other_own_production_garden__livestock,main_source_other_received_as_in-kind_payment,main_source_rice_asking_for_help_from_others,main_source_rice_bought_on_credit,main_source_rice_bought_through_battering,main_source_rice_bought_using_cash,main_source_rice_fishing__hunting__gathering,main_source_rice_food_assistance_government__charity,main_source_rice_from_employer,main_source_rice_gifts_friends__neighbours__relatives,main_source_rice_other_specify,main_source_rice_own_production_garden__livestock,main_source_rice_received_as_in-kind_payment,main_source_oil_asking_for_help_from_others,main_source_oil_bought_on_credit,main_source_oil_bought_through_battering,main_source_oil_bought_using_cash,main_source_oil_fishing__hunting__gathering,main_source_oil_food_assistance_government__charity,main_source_oil_from_employer,main_source_oil_gifts_friends__neighbours__relatives,main_source_oil_other_specify,main_source_oil_own_production_garden__livestock,main_source_oil_received_as_in-kind_payment,main_source_spices_asking_for_help_from_others,main_source_spices_bought_on_credit,,main_source_spices_bought_using_cash,main_source_spices_fishing__hunting__gathering,main_source_spices_food_assistance_government__charity,main_source_spices_from_employer,main_source_spices_gifts_friends__neighbours__relatives,main_source_spices_other_specify,main_source_spices_own_production_garden__livestock,main_source_spices_received_as_in-kind_payment
60+,0.000458407,0.002133018,0.001299773,0.90463035,0,0.001854403,0.004608452,0.043799815,0.001164559,0.039043387,0.001007836,0.003081616,0.0103747,0.003429327,0.548023965,0.002984991,0.095461885,0.004155476,0.022831943,0.001455804,0.306960231,0.001240062,0,0.003973535,0.001971855,0.920928586,0,0.009165362,0.002394061,0.059637903,0.001075443,0.000695438,0.000157818,0.002968221,0.006904515,0.002623592,0.936149555,0.000547117,0.000126093,0.00403258,0.036268247,0,0.009588147,0.000791932,0.002981108,0.003519759,0.966829873,0,0.00439898,0.001922249,0.020167767,0,0,0.000180265,,0.0,0.2,0.1,90.5,0.0,0.2,0.5,4.4,0.1,3.9,0.1,0.3,1.0,0.3,54.8,0.3,9.5,0.4,2.3,0.1,30.7,0.1,0.0,0.4,0.2,92.1,0.0,0.9,0.2,6.0,0.1,0.1,0.0,0.3,0.7,0.3,93.6,0.1,0.0,0.4,3.6,0.0,1.0,0.1,0.3,0.4,0.0,96.7,0.0,0.4,0.2,2.0,0.0,0.0,0.0
No formal education,0.00253066,0.008865233,0,0.844954608,0,0.006790856,0.016155018,0.072284523,0.001055248,0.041969885,0.005393969,0.007953087,0.024692066,0.002910705,0.562664822,0.000879343,0.124689056,0.037225856,0.033392411,0.000620119,0.202244601,0.002727934,0.002504347,0.013550946,0,0.879969294,0,0.017147558,0.012060826,0.070678386,0.00193328,0.00125016,0.000905205,0.007167564,0.021528546,0.001285125,0.870103315,0.00066272,0.000974554,0.035320619,0.04291121,0,0.018949864,0.001096483,0.000496955,0.025431393,0.929017809,0,0,0.019071772,0.025692282,0,0,0.00028979,,0.3,0.9,0.0,84.5,0.0,0.7,1.6,7.2,0.1,4.2,0.5,0.8,2.5,0.3,56.3,0.1,12.5,3.7,3.3,0.1,20.2,0.3,0.3,1.4,0.0,88.0,0.0,1.7,1.2,7.1,0.2,0.1,0.1,0.7,2.2,0.1,87.0,0.1,0.1,3.5,4.3,0.0,1.9,0.1,0.0,2.5,0.0,92.9,0.0,0.0,1.9,2.6,0.0,0.0,0.0
Not stated,0,0,0,0.960231829,0,0,0,0,0,0.039768171,0,0,0,0,0.460265968,0,0,0,0.055035024,0,0.484699009,0,0,0,0,0.976504804,0,0,0,0.023495196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.974572554,0,0,0,0.025427446,0,0,0,,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,5.5,0.0,48.5,0.0,0.0,0.0,0.0,97.7,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0
Primary,0.000696201,0.007847985,0.001056098,0.874281133,0.001494053,0.000293208,0.020181678,0.048961192,0.000481666,0.042587006,0.00211978,0.00434888,0.017701258,0.002003917,0.611868207,0.003233116,0.085717887,0.018913287,0.037969197,0.001061646,0.211447234,0.005735372,0.000895103,0.013047897,0,0.908007894,0,0.006152754,0.017263626,0.050762633,0.001833752,0,0.002036341,0.002562287,0.018634761,0.003446808,0.906335204,0.001924558,0.001144465,0.016036944,0.037412187,0.000923875,0.010737021,0.00084189,0.00099616,0.014164999,0.948580481,0.001944048,0.001436032,0.011713642,0.018331371,0.000568686,0.000279826,0.001984756,,0.1,0.8,0.1,87.4,0.1,0.0,2.0,4.9,0.0,4.3,0.2,0.4,1.8,0.2,61.2,0.3,8.6,1.9,3.8,0.1,21.1,0.6,0.1,1.3,0.0,90.8,0.0,0.6,1.7,5.1,0.2,0.0,0.2,0.3,1.9,0.3,90.6,0.2,0.1,1.6,3.7,0.1,1.1,0.1,0.1,1.4,0.0,94.9,0.2,0.1,1.2,1.8,0.1,0.0,0.2
Secondary,0.000336057,0.004674656,0,0.935566304,0,0,0.010991628,0.019145545,0.00219805,0.024839134,0.002248625,0.001976832,0.006576536,0.000922087,0.784185031,0.001157239,0.040043807,0.00964797,0.040709826,0.000654983,0.111568506,0.002557184,0.001439474,0.003903032,0,0.962949811,0.00078442,0.002654495,0.007885223,0.019583275,0.000401486,0.000337781,6.10E-05,0.002505049,0.004788912,0.000383129,0.959383429,0.000113624,0.000515946,0.008733916,0.016246409,0.000713961,0.005154122,0.001461503,0.001001873,0.005580786,0.973904994,0.000261951,0.001090712,0.007192215,0.009652796,0,0,0.001314673,,0.0,0.5,0.0,93.6,0.0,0.0,1.1,1.9,0.2,2.5,0.2,0.2,0.7,0.1,78.4,0.1,4.0,1.0,4.1,0.1,11.2,0.3,0.1,0.4,0.0,96.3,0.1,0.3,0.8,2.0,0.0,0.0,0.0,0.3,0.5,0.0,95.9,0.0,0.1,0.9,1.6,0.1,0.5,0.1,0.1,0.6,0.0,97.4,0.0,0.1,0.7,1.0,0.0,0.0,0.1
Tertiary,0,0.005564934,0.001520039,0.958861416,0,0,0.014949006,0.003497303,0,0.015607302,0,0.001878989,0.002119681,0.001811204,0.865335893,0,0.007755401,0.003191331,0.045388237,0.003747694,0.06877157,0,0,0.006650308,0.001791807,0.972841206,0,0,0.012565482,0.006151197,0,0,0,0,0.004610741,0,0.981020701,0.000534135,0,0.009413044,0.001588248,0,0.002833131,0,0,0.006366056,0.98067237,0,0,0.010301294,0.001243371,0,0.001416909,0,,0.0,0.6,0.2,95.9,0.0,0.0,1.5,0.3,0.0,1.6,0.0,0.2,0.2,0.2,86.5,0.0,0.8,0.3,4.5,0.4,6.9,0.0,0.0,0.7,0.2,97.3,0.0,0.0,1.3,0.6,0.0,0.0,0.0,0.0,0.5,0.0,98.1,0.1,0.0,0.9,0.2,0.0,0.3,0.0,0.0,0.6,0.0,98.1,0.0,0.0,1.0,0.1,0.0,0.1,0.0
1,0.004175146,0.022841172,0,0.79904731,0,0.005588021,0.014368963,0.092952429,0.002704125,0.058322833,0,0.022208476,0.026564626,0.010132213,0.585476091,0,0.164556018,0.017221715,0.056153428,0.001077305,0.106236048,0.010374081,0.013236284,0.018258816,0,0.849224689,0,0.042069593,0.009648573,0.062707757,0.004854289,0,0,0.020739073,0.02901048,0.001914163,0.865521819,0.006431201,0.004257023,0.01487724,0.046910478,0.003324894,0.005538857,0.001474772,0,0.021807173,0.935596704,0,0,0.012693555,0.02517151,0.004731058,0,0,,0.4,2.3,0.0,79.9,0.0,0.6,1.4,9.3,0.3,5.8,0.0,2.2,2.7,1.0,58.5,0.0,16.5,1.7,5.6,0.1,10.6,1.0,1.3,1.8,0.0,84.9,0.0,4.2,1.0,6.3,0.5,0.0,0.0,2.1,2.9,0.2,86.6,0.6,0.4,1.5,4.7,0.3,0.6,0.1,0.0,2.2,0.0,93.6,0.0,0.0,1.3,2.5,0.5,0.0,0.0
2,0,0.000174384,0,0.887446303,0,0,0.008153788,0.049057129,0.002232015,0.049795446,0.003140936,0.006395049,0.031548745,0.003783276,0.576263852,0.005390519,0.125440599,0.008605292,0.055738376,0.000637805,0.181588417,0.004608071,0,0.01861694,0,0.88333191,0,0.007431496,0.002904161,0.082926869,0.004788624,0,0,0.003196704,0.035394669,0.002951491,0.889371666,0.001770051,0,0.001968493,0.04634866,0,0.018669313,0.000328953,0.004777066,0.01877059,0.953739684,0,0,0.003589576,0.019123085,0,0,0,,0.0,0.0,0.0,88.7,0.0,0.0,0.8,4.9,0.2,5.0,0.3,0.6,3.2,0.4,57.6,0.5,12.5,0.9,5.6,0.1,18.2,0.5,0.0,1.9,0.0,88.3,0.0,0.7,0.3,8.3,0.5,0.0,0.0,0.3,3.5,0.3,88.9,0.2,0.0,0.2,4.6,0.0,1.9,0.0,0.5,1.9,0.0,95.4,0.0,0.0,0.4,1.9,0.0,0.0,0.0
3,0,0.004884858,0,0.884644856,0,0.001775429,0.014052324,0.061183866,0,0.031818143,0.001640524,0.008289402,0.018066304,0.002683401,0.587053411,0.003469311,0.114738944,0.010516892,0.025335198,0.001841191,0.221050674,0.006955271,0.001224054,0.009323345,0,0.927944319,0,0.018361431,0,0.039853946,0.003292905,0,0,0.005296344,0.019285968,0,0.914077742,0.000729373,0.000325161,0.009198992,0.035973357,0.000445065,0.014667998,0,0.003927146,0.010480271,0.963969063,0,0.003297843,0.003461029,0.014864647,0,0,0,,0.0,0.5,0.0,88.5,0.0,0.2,1.4,6.1,0.0,3.2,0.2,0.8,1.8,0.3,58.7,0.3,11.5,1.1,2.5,0.2,22.1,0.7,0.1,0.9,0.0,92.8,0.0,1.8,0.0,4.0,0.3,0.0,0.0,0.5,1.9,0.0,91.4,0.1,0.0,0.9,3.6,0.0,1.5,0.0,0.4,1.0,0.0,96.4,0.0,0.3,0.3,1.5,0.0,0.0,0.0
4,0,0.008250096,0.003266341,0.877701949,0.003081472,0.001140305,0.007777707,0.057085918,0,0.040538105,0.001158108,0.002708284,0.015188006,0,0.634758546,0.00208302,0.085581559,0.006567676,0.037737305,0.001168909,0.210064015,0.004142681,0.000276194,0.005355395,0,0.913526658,0,0.005415414,0.002693898,0.072229044,0,0,0.000503396,0.002890739,0.006619217,0.005886614,0.92711554,0.001855968,0.001102626,0.003932823,0.03372177,0,0.011625167,0.005249537,0.00227272,0.007122637,0.964445762,0,0,0.001229188,0.024408192,0,0,0.000521501,,0.0,0.8,0.3,87.8,0.3,0.1,0.8,5.7,0.0,4.1,0.1,0.3,1.5,0.0,63.5,0.2,8.6,0.7,3.8,0.1,21.0,0.4,0.0,0.5,0.0,91.4,0.0,0.5,0.3,7.2,0.0,0.0,0.1,0.3,0.7,0.6,92.7,0.2,0.1,0.4,3.4,0.0,1.2,0.5,0.2,0.7,0.0,96.4,0.0,0.0,0.1,2.4,0.0,0.0,0.1
5,0.000729498,0.007724002,0,0.892139614,0.001244928,0.001705501,0.012560635,0.039218462,0,0.04039495,0.004282408,0,0.007298626,0.002725248,0.625763844,0.000651423,0.080618246,0.029203227,0.040234119,0,0.210704154,0.002801114,0,0.006125514,0,0.933453227,0,0.005998377,0.018398361,0.033980167,0,0,0.002044353,0.00357012,0.007863512,0,0.916901096,0,0.001120514,0.020245163,0.034448211,0,0.014757926,0.001093459,0,0.008974756,0.972709432,0,0.001536478,0,0.014689066,0,0,0.002090269,,0.1,0.8,0.0,89.2,0.1,0.2,1.3,3.9,0.0,4.0,0.4,0.0,0.7,0.3,62.6,0.1,8.1,2.9,4.0,0.0,21.1,0.3,0.0,0.6,0.0,93.3,0.0,0.6,1.8,3.4,0.0,0.0,0.2,0.4,0.8,0.0,91.7,0.0,0.1,2.0,3.4,0.0,1.5,0.1,0.0,0.9,0.0,97.3,0.0,0.2,0.0,1.5,0.0,0.0,0.2
6,0.000788359,0.012748304,0,0.882688389,0,0,0.012289782,0.044936116,0.007494161,0.037650319,0.001404569,0,0.010769115,0,0.655521202,0.00379457,0.06954381,0.014961012,0.049968209,0.000901317,0.194103454,0.000437312,0.005928214,0.003117256,0,0.94742437,0,0.005689864,0.002079079,0.034590407,0,0.00117081,0,0.002449849,0.008541358,0.000564153,0.925689744,0,0,0.01186424,0.04211015,0.003397036,0.00538347,0,0.002819375,0.013160376,0.958350717,0,0,0.008263878,0.017405654,0,0,0,,0.1,1.3,0.0,88.3,0.0,0.0,1.2,4.5,0.7,3.8,0.1,0.0,1.1,0.0,65.6,0.4,7.0,1.5,5.0,0.1,19.4,0.0,0.6,0.3,0.0,94.7,0.0,0.6,0.2,3.5,0.0,0.1,0.0,0.2,0.9,0.1,92.6,0.0,0.0,1.2,4.2,0.3,0.5,0.0,0.3,1.3,0.0,95.8,0.0,0.0,0.8,1.7,0.0,0.0,0.0
7,0,0.002708211,0,0.91871949,0,0.001105439,0.01280407,0.026241278,0.003316278,0.031060382,0.004044852,0,0.007557315,0,0.735001735,0.000737966,0.037463632,0.021879987,0.043185763,0,0.151259398,0.002914204,0,0.007180638,0,0.954371469,0,0.002968448,0.010234064,0.023331725,0,0.001470837,0.000442819,0,0.006594397,0.001387477,0.948561474,0.000580684,0,0.01849217,0.016222578,0,0.008111385,4.98E-05,0,0.007341982,0.965925601,0,0,0.0125394,0.014193017,0,0,0,,0.0,0.3,0.0,91.9,0.0,0.1,1.3,2.6,0.3,3.1,0.4,0.0,0.8,0.0,73.5,0.1,3.7,2.2,4.3,0.0,15.1,0.3,0.0,0.7,0.0,95.4,0.0,0.3,1.0,2.3,0.0,0.1,0.0,0.0,0.7,0.1,94.9,0.1,0.0,1.8,1.6,0.0,0.8,0.0,0.0,0.7,0.0,96.6,0.0,0.0,1.3,1.4,0.0,0.0,0.0
8,0.001046185,0.002030068,0,0.940799641,0,0,0.009548861,0.021414352,0.000176005,0.022372406,0.002612483,0.001665397,0.007219551,0,0.771614567,0,0.026781751,0.012193722,0.043637223,0.003205096,0.13333033,0.000352362,0.001467557,0.005746495,0,0.959844924,0.000962355,0,0.012311768,0.019666902,0,0,0,0.002047889,0.004858278,0,0.950666366,0,0.001869426,0.018801685,0.01666596,0,0.005090395,0,0,0.006508788,0.974319643,0,0,0.008930551,0.010241018,0,0,0,,0.1,0.2,0.0,94.1,0.0,0.0,1.0,2.1,0.0,2.2,0.3,0.2,0.7,0.0,77.2,0.0,2.7,1.2,4.4,0.3,13.3,0.0,0.1,0.6,0.0,96.0,0.1,0.0,1.2,2.0,0.0,0.0,0.0,0.2,0.5,0.0,95.1,0.0,0.2,1.9,1.7,0.0,0.5,0.0,0.0,0.7,0.0,97.4,0.0,0.0,0.9,1.0,0.0,0.0,0.0
9,0,0.004140648,0.001331054,0.946382792,0,0.000367486,0.015181057,0.011794987,0,0.019045473,0.001756503,0.003426816,0.004105892,0.001403943,0.819020649,0.000997564,0.014364621,0.012291585,0.037625427,0.002369862,0.100135709,0.004257931,0,0.005299469,0.001625234,0.961201278,0,0,0.012577249,0.017750533,0.000296507,0,0.001249729,0.000674496,0.004324236,0.001637769,0.961280294,0,0,0.01238882,0.013204891,0.000228334,0.003446468,0.002814692,0,0.004831289,0.969202617,0.000720683,0,0.012454423,0.007871451,0,0.00028276,0.004636778,,0.0,0.4,0.1,94.6,0.0,0.0,1.5,1.2,0.0,1.9,0.2,0.3,0.4,0.1,81.9,0.1,1.4,1.2,3.8,0.2,10.0,0.4,0.0,0.5,0.2,96.1,0.0,0.0,1.3,1.8,0.0,0.0,0.1,0.1,0.4,0.2,96.1,0.0,0.0,1.2,1.3,0.0,0.3,0.3,0.0,0.5,0.0,96.9,0.1,0.0,1.2,0.8,0.0,0.0,0.5
10,0.000808308,0.006164085,0,0.951865164,0,0.000462762,0.019675754,0.007126703,0,0.012830316,0.001066908,0.001543462,0.0073282,0,0.866951122,0,0.014034261,0.019670283,0.031487681,0,0.05898499,0,0,0.006256417,0,0.965897228,0.001173845,0.000681687,0.014769825,0.010209276,0.000906867,0,0.000104856,0.000477258,0.00856374,0,0.96172906,0,0,0.016529506,0.007440538,0,0.005173374,8.65E-05,0,0.008910041,0.969292788,0.001597182,0.00243978,0.011921988,0.00473596,0,0.001002282,1.00E-04,,0.1,0.6,0.0,95.2,0.0,0.0,2.0,0.7,0.0,1.3,0.1,0.2,0.7,0.0,86.7,0.0,1.4,2.0,3.1,0.0,5.9,0.0,0.0,0.6,0.0,96.6,0.1,0.1,1.5,1.0,0.1,0.0,0.0,0.0,0.9,0.0,96.2,0.0,0.0,1.7,0.7,0.0,0.5,0.0,0.0,0.9,0.0,96.9,0.2,0.2,1.2,0.5,0.0,0.1,0.0
Afrikaans,0,0.010989701,0,0.930222321,0,0.001077221,0.007142821,0.006610915,0.003968012,0.03998901,0,0,0.011545445,0,0.959683464,0,0.017831854,0.006016421,0.003906022,0,0.001016795,0,0.004906822,0.004548007,0,0.971885894,0,0.001334897,0.005623966,0.010661155,0.001039258,0,0,0,0.008848822,0,0.971445364,0,0,0.005823511,0.002725559,0.004223007,0.006933737,0,0,0.006881449,0.983998155,0,0.004842764,0.003401399,0.000876233,0,0,0,,0.0,1.1,0.0,93.0,0.0,0.1,0.7,0.7,0.4,4.0,0.0,0.0,1.2,0.0,96.0,0.0,1.8,0.6,0.4,0.0,0.1,0.0,0.5,0.5,0.0,97.2,0.0,0.1,0.6,1.1,0.1,0.0,0.0,0.0,0.9,0.0,97.1,0.0,0.0,0.6,0.3,0.4,0.7,0.0,0.0,0.7,0.0,98.4,0.0,0.5,0.3,0.1,0.0,0.0,0.0
English,0,0,0,0.992974903,0,0,0.007025097,0,0,0,0,0.006881479,0,0,0.993118521,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.005073673,0,0,0.994926327,0,0,0,0,0,0,0,0,0.007268045,0.992731955,0,0,0,0,0,0,0,,0.0,0.0,0.0,99.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,99.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,99.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
German,0,0.079020833,0,0.878256436,0,0,0,0,0,0.042722731,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.99004063,0,0,0,0,0,0.00995937,0,0,0,1,0,0,0,0,0,0,0,,0.0,7.9,0.0,87.8,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khoisan,0,0,0.051068328,0.750230437,0,0,0.07064773,0.045905846,0,0.082147659,0,0.014035953,0.076746414,0.007020274,0.432870989,0,0.411387112,0.030782177,0.014943974,0.003430849,0.002599264,0.006182994,0,0,0,0.882416727,0,0.013467491,0.104115781,0,0,0,0,0.027780799,0.095073156,0.022339813,0.77273787,0,0.013045716,0.053076227,0.006282273,0,0,0.009664146,0,0.163144462,0.784635929,0,0,0,0.052219609,0,0,0,,0.0,0.0,5.1,75.0,0.0,0.0,7.1,4.6,0.0,8.2,0.0,1.4,7.7,0.7,43.3,0.0,41.1,3.1,1.5,0.3,0.3,0.6,0.0,0.0,0.0,88.2,0.0,1.3,10.4,0.0,0.0,0.0,0.0,2.8,9.5,2.2,77.3,0.0,1.3,5.3,0.6,0.0,0.0,1.0,0.0,16.3,0.0,78.5,0.0,0.0,0.0,5.2,0.0,0.0,0.0
Nama/Damara,0.001014187,0.015897034,0,0.818332311,0,0.001619014,0.035776391,0.029728473,0.004156342,0.09210384,0.001372408,0.008123514,0.027276429,0,0.786897826,0.000634941,0.113602114,0.032620938,0.022511305,0.001382107,0.004361085,0.00258974,0.000419001,0.014880188,0,0.935969234,0,0.00277913,0.019304332,0.024763449,0.000772989,0.000728894,0.000382782,0.007359078,0.028802459,0,0.911988145,0,0.0019255,0.02217911,0.015211948,0.001380184,0.010844096,0.000309479,0.002715994,0.021770135,0.950469597,0,0,0.016016578,0.00794287,0.00072554,0,0.000359286,,0.1,1.6,0.0,81.8,0.0,0.2,3.6,3.0,0.4,9.2,0.1,0.8,2.7,0.0,78.7,0.1,11.4,3.3,2.3,0.1,0.4,0.3,0.0,1.5,0.0,93.6,0.0,0.3,1.9,2.5,0.1,0.1,0.0,0.7,2.9,0.0,91.2,0.0,0.2,2.2,1.5,0.1,1.1,0.0,0.3,2.2,0.0,95.0,0.0,0.0,1.6,0.8,0.1,0.0,0.0
Oshiwambo,0.0002913,0.000277373,0,0.939019163,0.000625133,0.000479711,0.008352555,0.034339484,0,0.013669931,0.00294535,0.001582377,0.002501634,0.000309325,0.608324626,0.002673635,0.047379162,0.010568798,0.052311647,0.000997678,0.27103089,0.002320228,0.000422827,0.002155707,0,0.94666207,0.00027727,0.004067355,0.008872563,0.03675609,0,0.000353769,0.00043235,0.000876011,0.002516524,0.001526725,0.940588442,0,0.00053354,0.010025553,0.032316894,0,0.01006617,0.001550141,0,0.003283659,0.96853878,0.001086962,0.000587416,0.007425667,0.017345144,0,0,0.001732373,,0.0,0.0,0.0,93.9,0.1,0.0,0.8,3.4,0.0,1.4,0.3,0.2,0.3,0.0,60.8,0.3,4.7,1.1,5.2,0.1,27.1,0.2,0.0,0.2,0.0,94.7,0.0,0.4,0.9,3.7,0.0,0.0,0.0,0.1,0.3,0.2,94.1,0.0,0.1,1.0,3.2,0.0,1.0,0.2,0.0,0.3,0.0,96.9,0.1,0.1,0.7,1.7,0.0,0.0,0.2
Other,0.007071236,0.001771196,0.00925336,0.9170625,0,0,0.025491061,0.003628191,0.008006083,0.021226254,0.00649012,0,0.014876061,0.013923155,0.852389315,0,0.026047464,0.036281559,0.020725652,0,0.025991375,0.00976542,0,0.003859747,0.010607528,0.938650362,0.009504162,0,0.029221509,0,0,0,0.008156693,0,0,0,0.963312687,0,0,0.028412132,0,0,0.008275182,0,0.009790619,0.002165991,0.939089745,0,0,0.031172954,0,0,0.009079285,0.008701406,,0.7,0.2,0.9,91.7,0.0,0.0,2.5,0.4,0.8,2.1,0.6,0.0,1.5,1.4,85.2,0.0,2.6,3.6,2.1,0.0,2.6,1.0,0.0,0.4,1.1,93.9,1.0,0.0,2.9,0.0,0.0,0.0,0.8,0.0,0.0,0.0,96.3,0.0,0.0,2.8,0.0,0.0,0.8,0.0,1.0,0.2,0.0,93.9,0.0,0.0,3.1,0.0,0.0,0.9,0.9
Other African,0,0,0,0.943363094,0,0,0.004193353,0.033177398,0,0.019266154,0,0,0,0,0.905534715,0,0,0.061863922,0.032601363,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.891803339,0,0,0.078740815,0.029035195,0,0.000420651,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,94.3,0.0,0.0,0.4,3.3,0.0,1.9,0.0,0.0,0.0,0.0,90.6,0.0,0.0,6.2,3.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,0.0,0.0,7.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other European,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.862090616,0,0,0,0,0,0.137909384,0,0,0.082540895,0,0.917459105,0,0,0,0,0,0,0,0,0.039273761,0,0.922038854,0,0,0.038687386,0,0,0,0,0,0.047377325,0.952622675,0,0,0,0,0,0,0,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.2,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.0,8.3,0.0,91.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,92.2,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,4.7,0.0,95.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otjiherero,0.001458434,0.020561511,0,0.895037461,0,0.002382324,0.023123079,0.024747081,0.001849709,0.02705541,0.00378499,0.00745616,0.015981104,0.001836889,0.811078569,0,0.084019337,0.033101569,0.028237977,0,0.018288397,0,0.00019265,0.02226953,0,0.938209914,0,0,0.010423625,0.02890428,0,0,0,0.002649284,0.020408922,0.000978505,0.914101345,0,0,0.029614034,0.026107142,0,0.006140769,0,0.000892807,0.008774415,0.964683592,0,0,0.013163581,0.012485606,0,0,0,,0.1,2.1,0.0,89.5,0.0,0.2,2.3,2.5,0.2,2.7,0.4,0.7,1.6,0.2,81.1,0.0,8.4,3.3,2.8,0.0,1.8,0.0,0.0,2.2,0.0,93.8,0.0,0.0,1.0,2.9,0.0,0.0,0.0,0.3,2.0,0.1,91.4,0.0,0.0,3.0,2.6,0.0,0.6,0.0,0.1,0.9,0.0,96.5,0.0,0.0,1.3,1.2,0.0,0.0,0.0
