index,main_source_wheat_asking_for_help_from_others,main_source_wheat_bought_on_credit,main_source_wheat_bought_through_battering,main_source_wheat_bought_using_cash,main_source_wheat_fishing__hunting__gathering,main_source_wheat_food_assistance_government__charity,main_source_wheat_from_employer,main_source_wheat_gifts_friends__neighbours__relatives,main_source_wheat_other_specify,main_source_wheat_own_production_garden__livestock,main_source_wheat_received_as_in-kind_payment,main_source_other_asking_for_help_from_others,main_source_other_bought_on_credit,main_source_other_bought_through_battering,main_source_other_bought_using_cash,main_source_other_fishing__hunting__gathering,main_source_other_food_assistance_government__charity,main_source_other_from_employer,main_source_other_gifts_friends__neighbours__relatives,main_source_other_other_specify,main_source_other_own_production_garden__livestock,main_source_other_received_as_in-kind_payment,main_source_rice_asking_for_help_from_others,main_source_rice_bought_on_credit,main_source_rice_bought_through_battering,main_source_rice_bought_using_cash,main_source_rice_fishing__hunting__gathering,main_source_rice_food_assistance_government__charity,main_source_rice_from_employer,main_source_rice_gifts_friends__neighbours__relatives,main_source_rice_other_specify,main_source_rice_own_production_garden__livestock,main_source_rice_received_as_in-kind_payment,main_source_oil_asking_for_help_from_others,main_source_oil_bought_on_credit,main_source_oil_bought_through_battering,main_source_oil_bought_using_cash,main_source_oil_fishing__hunting__gathering,main_source_oil_food_assistance_government__charity,main_source_oil_from_employer,main_source_oil_gifts_friends__neighbours__relatives,main_source_oil_other_specify,main_source_oil_own_production_garden__livestock,main_source_oil_received_as_in-kind_payment,main_source_spices_asking_for_help_from_others,main_source_spices_bought_on_credit,main_source_spices_bought_using_cash,main_source_spices_fishing__hunting__gathering,main_source_spices_food_assistance_government__charity,main_source_spices_from_employer,main_source_spices_gifts_friends__neighbours__relatives,main_source_spices_other_specify,main_source_spices_own_production_garden__livestock,main_source_spices_received_as_in-kind_payment,,main_source_wheat_asking_for_help_from_others,main_source_wheat_bought_on_credit,main_source_wheat_bought_through_battering,main_source_wheat_bought_using_cash,main_source_wheat_fishing__hunting__gathering,main_source_wheat_food_assistance_government__charity,main_source_wheat_from_employer,main_source_wheat_gifts_friends__neighbours__relatives,main_source_wheat_other_specify,main_source_wheat_own_production_garden__livestock,main_source_wheat_received_as_in-kind_payment,main_source_other_asking_for_help_from_others,main_source_other_bought_on_credit,main_source_other_bought_through_battering,main_source_other_bought_using_cash,main_source_other_fishing__hunting__gathering,main_source_other_food_assistance_government__charity,main_source_other_from_employer,main_source_other_gifts_friends__neighbours__relatives,main_source_other_other_specify,main_source_other_own_production_garden__livestock,main_source_other_received_as_in-kind_payment,main_source_rice_asking_for_help_from_others,main_source_rice_bought_on_credit,main_source_rice_bought_through_battering,main_source_rice_bought_using_cash,main_source_rice_fishing__hunting__gathering,main_source_rice_food_assistance_government__charity,main_source_rice_from_employer,main_source_rice_gifts_friends__neighbours__relatives,main_source_rice_other_specify,main_source_rice_own_production_garden__livestock,main_source_rice_received_as_in-kind_payment,main_source_oil_asking_for_help_from_others,main_source_oil_bought_on_credit,main_source_oil_bought_through_battering,main_source_oil_bought_using_cash,main_source_oil_fishing__hunting__gathering,main_source_oil_food_assistance_government__charity,main_source_oil_from_employer,main_source_oil_gifts_friends__neighbours__relatives,main_source_oil_other_specify,main_source_oil_own_production_garden__livestock,main_source_oil_received_as_in-kind_payment,main_source_spices_asking_for_help_from_others,main_source_spices_bought_on_credit,,main_source_spices_bought_using_cash,main_source_spices_fishing__hunting__gathering,main_source_spices_food_assistance_government__charity,main_source_spices_from_employer,main_source_spices_gifts_friends__neighbours__relatives,main_source_spices_other_specify,main_source_spices_own_production_garden__livestock,main_source_spices_received_as_in-kind_payment
Omaheke,0,0.004299812,0,0.835446919,0,0.002702882,0.032902137,0.02773683,0.000219875,0.091948056,0.004743489,0.016796462,0.02311651,0.001082077,0.762367327,0,0.075980249,0.064924975,0.027255147,0,0.02525216,0.003225092,0,0.010399202,0,0.947278685,0,0.01039714,0.018395846,0.013529126,0,0,0,0.015194779,0.01795238,0,0.88427266,0,0.00340978,0.046156009,0.021143786,0,0.011870607,0,0.002639048,0.013473055,0.938982865,0,0,0.030927974,0.013977057,0,0,0,,0.0,0.4,0.0,83.5,0.0,0.3,3.3,2.8,0.0,9.2,0.5,1.7,2.3,0.1,76.2,0.0,7.6,6.5,2.7,0.0,2.5,0.3,0.0,1.0,0.0,94.7,0.0,1.0,1.8,1.4,0.0,0.0,0.0,1.5,1.8,0.0,88.4,0.0,0.3,4.6,2.1,0.0,1.2,0.0,0.3,1.3,0.0,93.9,0.0,0.0,3.1,1.4,0.0,0.0,0.0
Omusati,0.001841717,0,0,0.909827554,0.003952339,0.003344955,0.010598838,0.052886753,0,0.017547843,0,0.002761096,0.000159794,0.001794203,0.244782865,0.012207192,0.088901045,0.025732655,0.031477622,0,0.592183528,0,0,0,0,0.866904719,0,0.011247602,0.018871737,0.102975942,0,0,0,0.001552358,0.001957494,0.004107525,0.910923953,0,0.000424434,0.023086457,0.047925362,0,0.010022417,0,0,0,0.984553007,0,0,0,0.015446993,0,0,0,,0.2,0.0,0.0,91.0,0.4,0.3,1.1,5.3,0.0,1.8,0.0,0.3,0.0,0.2,24.5,1.2,8.9,2.6,3.1,0.0,59.2,0.0,0.0,0.0,0.0,86.7,0.0,1.1,1.9,10.3,0.0,0.0,0.0,0.2,0.2,0.4,91.1,0.0,0.0,2.3,4.8,0.0,1.0,0.0,0.0,0.0,0.0,98.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0
Oshana,0,0,0,0.960123186,0,0,0.001488851,0.032348163,0,0.0060398,0,0,0,0,0.547270767,0.00187562,0.018407511,0.003404346,0.096234852,0.003550939,0.328210475,0.001045491,0,0.00175936,0,0.965488887,0,0.008869969,0.003711413,0.018250179,0,0.001920192,0,0,0,0.000614073,0.962717354,0,0,0.004048229,0.028055581,0,0.004564763,0,0,0.001572139,0.971862731,0,0,0.004508232,0.022056898,0,0,0,,0.0,0.0,0.0,96.0,0.0,0.0,0.1,3.2,0.0,0.6,0.0,0.0,0.0,0.0,54.7,0.2,1.8,0.3,9.6,0.4,32.8,0.1,0.0,0.2,0.0,96.5,0.0,0.9,0.4,1.8,0.0,0.2,0.0,0.0,0.0,0.1,96.3,0.0,0.0,0.4,2.8,0.0,0.5,0.0,0.0,0.2,0.0,97.2,0.0,0.0,0.5,2.2,0.0,0.0,0.0
Oshikoto,0,0,0,0.912661412,0,0,0.011012608,0.034488347,0,0.040087488,0.001750144,0.002738985,0.005013305,0,0.501327704,0.001603101,0.114746185,0.01532001,0.036439869,0,0.32281084,0,0,0.001316907,0,0.94162853,0,0.002804396,0.011468309,0.042781859,0,0,0,0,0.00426096,0.000844491,0.929993624,0,0,0.009916569,0.03962973,0,0.013635743,0.001718884,0,0.006969623,0.937703651,0,0.005419256,0.009613221,0.04029425,0,0,0,,0.0,0.0,0.0,91.3,0.0,0.0,1.1,3.4,0.0,4.0,0.2,0.3,0.5,0.0,50.1,0.2,11.5,1.5,3.6,0.0,32.3,0.0,0.0,0.1,0.0,94.2,0.0,0.3,1.1,4.3,0.0,0.0,0.0,0.0,0.4,0.1,93.0,0.0,0.0,1.0,4.0,0.0,1.4,0.2,0.0,0.7,0.0,93.8,0.0,0.5,1.0,4.0,0.0,0.0,0.0
Otjozondjupa,0,0.015007631,0.006264343,0.890560583,0,0,0.029922534,0.020557573,0.003378571,0.030079913,0.004228852,0.003985857,0.037860573,0.002656398,0.809183703,0,0.047522221,0.051102496,0.03523742,0.000993539,0.00876301,0.002694784,0,0.020982469,0.003772334,0.914852434,0,0,0.02753757,0.03104751,0.001410919,0,0.000396764,0.002469901,0.038991952,0.002597977,0.890918414,0,0.000328746,0.040636379,0.017264516,0.002157927,0.001620326,0.003013861,0.001858945,0.038247177,0.921493622,0.001434891,0,0.019750735,0.013294508,0.001144136,0.000562981,0.002213006,,0.0,1.5,0.6,89.1,0.0,0.0,3.0,2.1,0.3,3.0,0.4,0.4,3.8,0.3,80.9,0.0,4.8,5.1,3.5,0.1,0.9,0.3,0.0,2.1,0.4,91.5,0.0,0.0,2.8,3.1,0.1,0.0,0.0,0.2,3.9,0.3,89.1,0.0,0.0,4.1,1.7,0.2,0.2,0.3,0.2,3.8,0.0,92.1,0.1,0.0,2.0,1.3,0.1,0.1,0.2
Zambezi,0,0.001427001,0,0.953030876,0,0,0,0.042733023,0,0.0028091,0,0.006890341,0,0,0.839027915,0,0.08859298,0,0.034116035,0,0.029550169,0.001822559,0.004629029,0,0,0.960671636,0,0,0,0.034699335,0,0,0,0.005224929,0.001172515,0,0.976407957,0.001458968,0,0,0.01573563,0,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.1,0.0,95.3,0.0,0.0,0.0,4.3,0.0,0.3,0.0,0.7,0.0,0.0,83.9,0.0,8.9,0.0,3.4,0.0,3.0,0.2,0.5,0.0,0.0,96.1,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.5,0.1,0.0,97.6,0.1,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,0.000174433,0.004174543,0,0.918183985,0.000695796,0.000627858,0.012403574,0.03530752,0.001828421,0.026512266,9.16E-05,0.003883542,0.008639799,0.001589586,0.670126063,0.002309392,0.068824595,0.004112204,0.048144597,0.001394909,0.188090224,0.00288509,0.001321427,0.006966258,0,0.937878946,0.000904261,0.005478523,0.006406695,0.038525013,0.001248781,0.000625198,0.000644897,0.003484212,0.007210775,0.000714356,0.94375585,0.000105584,0.000819725,0.004709323,0.03101504,0.000230393,0.006674575,0.001280168,0.001050438,0.005986347,0.969586947,0,0.002001945,0.005136192,0.014307801,0.000258412,0,0.001671917,,0.0,0.4,0.0,91.8,0.1,0.1,1.2,3.5,0.2,2.7,0.0,0.4,0.9,0.2,67.0,0.2,6.9,0.4,4.8,0.1,18.8,0.3,0.1,0.7,0.0,93.8,0.1,0.5,0.6,3.9,0.1,0.1,0.1,0.3,0.7,0.1,94.4,0.0,0.1,0.5,3.1,0.0,0.7,0.1,0.1,0.6,0.0,97.0,0.0,0.2,0.5,1.4,0.0,0.0,0.2
Male,0.000891405,0.007363446,0.000782559,0.917134383,0,0.000878758,0.014677672,0.024651694,0.000885727,0.029009953,0.003724403,0.003456591,0.014152426,0.001571733,0.743951432,0.000799277,0.055359565,0.025110554,0.035298702,0.000975276,0.116011951,0.003312493,0.000941005,0.006433483,0.000526953,0.95568109,0,0.002721429,0.013941729,0.01909732,0.000287398,0,0.000369594,0.002170118,0.012963901,0.00153933,0.930249577,0.00111339,0.000502699,0.02122145,0.019282219,0.000806732,0.009327396,0.000823187,0.000528191,0.01054028,0.965180618,0.000865892,0,0.01201465,0.009727823,0,0.000488717,0.000653829,,0.1,0.7,0.1,91.7,0.0,0.1,1.5,2.5,0.1,2.9,0.4,0.3,1.4,0.2,74.4,0.1,5.5,2.5,3.5,0.1,11.6,0.3,0.1,0.6,0.1,95.6,0.0,0.3,1.4,1.9,0.0,0.0,0.0,0.2,1.3,0.2,93.0,0.1,0.1,2.1,1.9,0.1,0.9,0.1,0.1,1.1,0.0,96.5,0.1,0.0,1.2,1.0,0.0,0.0,0.1
0-18,0,0,0,0.538594309,0,0,0.038593444,0.422812247,0,0,0,0,0,0,0.42637059,0,0.084288601,0.165717617,0.115853718,0,0.174211222,0.033558251,0,0,0,0.817981492,0,0,0,0.182018508,0,0,0,0,0,0,0.499966567,0,0,0.177905501,0.322127932,0,0,0,0,0,0.657187737,0,0,0,0.342812263,0,0,0,,0.0,0.0,0.0,53.9,0.0,0.0,3.9,42.3,0.0,0.0,0.0,0.0,0.0,0.0,42.6,0.0,8.4,16.6,11.6,0.0,17.4,3.4,0.0,0.0,0.0,81.8,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,17.8,32.2,0.0,0.0,0.0,0.0,0.0,0.0,65.7,0.0,0.0,0.0,34.3,0.0,0.0,0.0
18-59,0.000599379,0.006745035,0.000262361,0.921310315,0.000371159,0.000549385,0.015440361,0.025315305,0.001334514,0.025723615,0.002348573,0.003797209,0.012031488,0.001161982,0.749634479,0.001138759,0.053462689,0.017571826,0.044898698,0.001102562,0.111799126,0.003401184,0.00130786,0.00716578,0,0.953014224,0.000470158,0.003027997,0.012106663,0.021504263,0.000649287,0.000202456,0.000551311,0.002720219,0.01122477,0.00084451,0.93798521,0.000691695,0.000764776,0.015443541,0.020720758,0.000676051,0.007843491,0.001084979,0.000418639,0.009406513,0.967576301,0.000579349,0.000313092,0.010220198,0.0098218,0.000123988,0.00032699,0.001213129,,0.1,0.7,0.0,92.1,0.0,0.1,1.5,2.5,0.1,2.6,0.2,0.4,1.2,0.1,75.0,0.1,5.3,1.8,4.5,0.1,11.2,0.3,0.1,0.7,0.0,95.3,0.0,0.3,1.2,2.2,0.1,0.0,0.1,0.3,1.1,0.1,93.8,0.1,0.1,1.5,2.1,0.1,0.8,0.1,0.0,0.9,0.0,96.8,0.1,0.0,1.0,1.0,0.0,0.0,0.1
