label,source,source
Maize meal/ grain/ samp,From nature,0.0001539442721734732
Maize meal/ grain/ samp,Butchery,2.1992038881924744e-05
Olive oil,Supermarket,0.875968992248062
Olive oil,From relative,0.046511627906976744
Olive oil,From employer,0.03875968992248062
Olive oil,Open market/ Vendor,0.015503875968992248
Olive oil,Other (Specify),0.015503875968992248
Olive oil,Own produce,0.007751937984496124
Pies & pizzas,Supermarket,0.5714285714285714
Pies & pizzas,Take away,0.18285714285714286
Pies & pizzas,Restaurant/ Hotel,0.11714285714285715
Pies & pizzas,Petrol station,0.04285714285714286
Pies & pizzas,From relative,0.025714285714285714
Pies & pizzas,Other (Specify),0.02
Pies & pizzas,Open market/ Vendor,0.017142857142857144
Pies & pizzas,Neighbors,0.008571428571428572
Pies & pizzas,Own produce,0.005714285714285714
Pies & pizzas,From employer,0.005714285714285714
Pies & pizzas,Butchery,0.002857142857142857
"Sorghum meal/ grain (whole grain, raw)",Own produce,0.7624633431085044
"Sorghum meal/ grain (whole grain, raw)",Open market/ Vendor,0.12023460410557185
"Sorghum meal/ grain (whole grain, raw)",From relative,0.05865102639296188
"Sorghum meal/ grain (whole grain, raw)",Supermarket,0.03812316715542522
"Sorghum meal/ grain (whole grain, raw)",Neighbors,0.01466275659824047
"Sorghum meal/ grain (whole grain, raw)",Take away,0.001466275659824047
"Sorghum meal/ grain (whole grain, raw)",Drought relief,0.001466275659824047
"Sorghum meal/ grain (whole grain, raw)",From employer,0.001466275659824047
"Sorghum meal/ grain (whole grain, raw)",Other (Specify),0.001466275659824047
"Traditional bread, ash bread, oshikwiila, oshima, omungome",Own produce,0.48677248677248675
"Traditional bread, ash bread, oshikwiila, oshima, omungome",Open market/ Vendor,0.18306878306878308
"Traditional bread, ash bread, oshikwiila, oshima, omungome",Supermarket,0.14497354497354498
"Traditional bread, ash bread, oshikwiila, oshima, omungome",From relative,0.07195767195767196
"Traditional bread, ash bread, oshikwiila, oshima, omungome",Shebeen,0.05925925925925926
"Traditional bread, ash bread, oshikwiila, oshima, omungome",Neighbors,0.03597883597883598
"Traditional bread, ash bread, oshikwiila, oshima, omungome",Take away,0.008465608465608466
"Traditional bread, ash bread, oshikwiila, oshima, omungome",From employer,0.005291005291005291
"Traditional bread, ash bread, oshikwiila, oshima, omungome",Other (Specify),0.0031746031746031746
"Traditional bread, ash bread, oshikwiila, oshima, omungome",Bottle store,0.0010582010582010583
Vetkoek,Open market/ Vendor,0.514988955506469
Vetkoek,Shebeen,0.17608078258125592
Vetkoek,Own produce,0.08993373303881351
Vetkoek,Neighbors,0.06468917639633955
Vetkoek,Take away,0.05616913852950457
Vetkoek,Supermarket,0.05112022720100978
Vetkoek,From relative,0.02903124013884506
Vetkoek,Other (Specify),0.012306721363206059
Vetkoek,Restaurant/ Hotel,0.002208898706216472
Vetkoek,From employer,0.0018933417481855476
Vetkoek,Bottle store,0.0009466708740927738
Vetkoek,Petrol station,0.0006311139160618492
